analysis_id,display_label,family,variant_kind,fold_id,training_seed,train_rows,validation_rows,positive_n,positive_share,pr_auc,roc_auc,status
B_without_missing_indicators,Bez wskaźników braków,xgboost,pipeline_robustness,fold_2019,20260818,14783,1638,326,0.199023199023,0.329383214701,0.67302764477,COMPLETE
B_without_missing_indicators,Bez wskaźników braków,xgboost,pipeline_robustness,fold_2020,20260818,16280,1688,219,0.129739336493,0.365535850365,0.794203493197,COMPLETE
complete_case,Complete case,xgboost,pipeline_robustness,fold_2015,20260818,5279,1811,408,0.225289895086,0.516681520161,0.796517965704,COMPLETE
complete_case,Complete case,xgboost,pipeline_robustness,fold_2016,20260818,7074,1698,288,0.16961130742,0.399206525216,0.782826044129,COMPLETE
complete_case,Complete case,xgboost,pipeline_robustness,fold_2017,20260818,8944,1253,211,0.16839584996,0.452313181402,0.818618042226,COMPLETE
complete_case,Complete case,xgboost,pipeline_robustness,fold_2018,20260818,10637,1152,239,0.207465277778,0.442489148116,0.767344768958,COMPLETE
complete_case,Complete case,xgboost,pipeline_robustness,fold_2019,20260818,11900,1238,239,0.193053311793,0.333435050785,0.700866138105,COMPLETE
complete_case,Complete case,xgboost,pipeline_robustness,fold_2020,20260818,13040,1325,171,0.129056603774,0.359377633155,0.791602055398,COMPLETE
no_winsorization,Bez winsoryzacji,xgboost,pipeline_robustness,fold_2015,20260818,6468,2241,506,0.225792057117,0.526788257526,0.800384435762,COMPLETE
no_winsorization,Bez winsoryzacji,xgboost,pipeline_robustness,fold_2016,20260818,8761,2133,351,0.164556962025,0.390306762489,0.778206247342,COMPLETE
no_winsorization,Bez winsoryzacji,xgboost,pipeline_robustness,fold_2017,20260818,11089,1549,257,0.165913492576,0.438455706065,0.803777511414,COMPLETE
no_winsorization,Bez winsoryzacji,xgboost,pipeline_robustness,fold_2018,20260818,13221,1511,327,0.216412971542,0.430819138218,0.730394815687,COMPLETE
no_winsorization,Bez winsoryzacji,xgboost,pipeline_robustness,fold_2019,20260818,14783,1638,326,0.199023199023,0.330083626665,0.674120669984,COMPLETE
no_winsorization,Bez winsoryzacji,xgboost,pipeline_robustness,fold_2020,20260818,16280,1688,219,0.129739336493,0.360420793996,0.794094699901,COMPLETE
purged_economic_group_cv,Purged economic-group CV,xgboost,pipeline_robustness,fold_2015,20260818,2157,2241,506,0.225792057117,0.524437532258,0.789759770364,COMPLETE
purged_economic_group_cv,Purged economic-group CV,xgboost,pipeline_robustness,fold_2016,20260818,3316,2133,351,0.164556962025,0.385630291385,0.773533051311,COMPLETE
purged_economic_group_cv,Purged economic-group CV,xgboost,pipeline_robustness,fold_2017,20260818,6327,1549,257,0.165913492576,0.425684389209,0.800195154859,COMPLETE
purged_economic_group_cv,Purged economic-group CV,xgboost,pipeline_robustness,fold_2018,20260818,7853,1511,327,0.216412971542,0.423669899873,0.733596268287,COMPLETE
purged_economic_group_cv,Purged economic-group CV,xgboost,pipeline_robustness,fold_2019,20260818,8185,1638,326,0.199023199023,0.335588113165,0.674048191306,COMPLETE
purged_economic_group_cv,Purged economic-group CV,xgboost,pipeline_robustness,fold_2020,20260818,8935,1688,219,0.129739336493,0.385447501421,0.796214614981,COMPLETE
sparse_row_available_features_at_least_11_of_17,Wiersze ≥11/17 cech,xgboost,pipeline_robustness,fold_2015,20260818,6191,2208,498,0.225543478261,0.523529977934,0.800095117311,COMPLETE
sparse_row_available_features_at_least_11_of_17,Wiersze ≥11/17 cech,xgboost,pipeline_robustness,fold_2016,20260818,8454,2106,345,0.163817663818,0.391026799468,0.781114979137,COMPLETE
sparse_row_available_features_at_least_11_of_17,Wiersze ≥11/17 cech,xgboost,pipeline_robustness,fold_2017,20260818,10742,1532,252,0.164490861619,0.445108804057,0.806499565972,COMPLETE
sparse_row_available_features_at_least_11_of_17,Wiersze ≥11/17 cech,xgboost,pipeline_robustness,fold_2018,20260818,12846,1481,318,0.21471978393,0.428919170016,0.730646722584,COMPLETE
sparse_row_available_features_at_least_11_of_17,Wiersze ≥11/17 cech,xgboost,pipeline_robustness,fold_2019,20260818,14391,1603,316,0.197130380536,0.327698829558,0.672856854819,COMPLETE
sparse_row_available_features_at_least_11_of_17,Wiersze ≥11/17 cech,xgboost,pipeline_robustness,fold_2020,20260818,15860,1666,213,0.127851140456,0.365933024312,0.800492101496,COMPLETE
first_nonselected_ansatz_in_Q1_registry_order_at_fixed_final_settings,RY_RZ_CZ_BRICKWORK,qnn,qnn_structural,fold_2015,20260818,6468,2241,506,0.225792057117,0.468583080848,0.759614311262,COMPLETE
first_nonselected_ansatz_in_Q1_registry_order_at_fixed_final_settings,RY_RZ_CZ_BRICKWORK,qnn,qnn_structural,fold_2016,20260818,8761,2133,351,0.164556962025,0.377659708929,0.77730294397,COMPLETE
first_nonselected_ansatz_in_Q1_registry_order_at_fixed_final_settings,RY_RZ_CZ_BRICKWORK,qnn,qnn_structural,fold_2017,20260818,11089,1549,257,0.165913492576,0.38193393899,0.783679271422,COMPLETE
first_nonselected_ansatz_in_Q1_registry_order_at_fixed_final_settings,RY_RZ_CZ_BRICKWORK,qnn,qnn_structural,fold_2018,20260818,13221,1511,327,0.216412971542,0.396464500687,0.700044941731,COMPLETE
first_nonselected_ansatz_in_Q1_registry_order_at_fixed_final_settings,RY_RZ_CZ_BRICKWORK,qnn,qnn_structural,fold_2019,20260818,14783,1638,326,0.199023199023,0.295611618677,0.642206671779,COMPLETE
first_nonselected_ansatz_in_Q1_registry_order_at_fixed_final_settings,RY_RZ_CZ_BRICKWORK,qnn,qnn_structural,fold_2020,20260818,16280,1688,219,0.129739336493,0.356787676643,0.794321611633,COMPLETE
replace_entangling_gates_with_identity,Brak splątania (identity),qnn,qnn_structural,fold_2015,20260818,6468,2241,506,0.225792057117,0.481125885243,0.760995432334,COMPLETE
replace_entangling_gates_with_identity,Brak splątania (identity),qnn,qnn_structural,fold_2016,20260818,8761,2133,351,0.164556962025,0.367114599601,0.776946418922,COMPLETE
replace_entangling_gates_with_identity,Brak splątania (identity),qnn,qnn_structural,fold_2017,20260818,11089,1549,257,0.165913492576,0.430041866911,0.784941152377,COMPLETE
replace_entangling_gates_with_identity,Brak splątania (identity),qnn,qnn_structural,fold_2018,20260818,13221,1511,327,0.216412971542,0.374242418543,0.699724667328,COMPLETE
replace_entangling_gates_with_identity,Brak splątania (identity),qnn,qnn_structural,fold_2019,20260818,14783,1638,326,0.199023199023,0.295274803333,0.642839106689,COMPLETE
