family,family_label,feature_name,mean_pr_auc_decrease_across_folds,fold_sample_sd,min_fold_decrease,max_fold_decrease,positive_fold_count,mean_repeat_sample_sd,mean_fold_baseline_pr_auc,duplicate_rows_dropped_total,rank_within_family
hist_gradient_boosting,HistGradientBoosting,revenue_growth_1y,0.0113384760691,0.0078497153354,0.00258578690018,0.0209218905044,6,0.0053458799379,0.414349115073,5,3
hist_gradient_boosting,HistGradientBoosting,roa_t,0.0107253707744,0.00810357886121,0.00112471222252,0.022181723347,6,0.0060725032666,0.414349115073,5,4
hist_gradient_boosting,HistGradientBoosting,delta_roa_1y,0.00911120854493,0.00726490637604,-0.00153745457466,0.0178234494917,5,0.00552472771575,0.414349115073,5,5
hist_gradient_boosting,HistGradientBoosting,working_capital_to_assets_t,0.00878409703636,0.017354901933,-0.00650049710704,0.0406314487345,4,0.00444559033831,0.414349115073,5,6
hist_gradient_boosting,HistGradientBoosting,current_ratio_t,0.00738039713092,0.0137683446217,-0.0129097368661,0.0224623756403,4,0.00465937422695,0.414349115073,5,7
hist_gradient_boosting,HistGradientBoosting,current_ratio_change_1y,0.00647013308986,0.00382236122151,0.00286716246748,0.0118476594423,6,0.00486424664183,0.414349115073,5,8
hist_gradient_boosting,HistGradientBoosting,ocf_to_assets_t,0.00461834787717,0.00586834995217,-0.00319691487384,0.0108150324897,4,0.00374463523383,0.414349115073,5,9
hist_gradient_boosting,HistGradientBoosting,profit_margin_t,0.00425619275561,0.00649267017857,-0.00646751733936,0.0133645509481,5,0.00317520627091,0.414349115073,5,10
hist_gradient_boosting,HistGradientBoosting,delta_ocf_to_assets_1y,0.00316970205608,0.00956198825375,-0.00554325675167,0.0193362432396,3,0.00242488759248,0.414349115073,5,11
hist_gradient_boosting,HistGradientBoosting,asset_growth_1y,0.00261871118708,0.0103779068445,-0.00921266733393,0.0212214708664,4,0.00354678958951,0.414349115073,5,12
hist_gradient_boosting,HistGradientBoosting,liabilities_to_assets_t,0.00209740030079,0.00499749443937,-0.00264452656211,0.0106217779113,3,0.00259957500268,0.414349115073,5,13
hist_gradient_boosting,HistGradientBoosting,ocf_margin_t,-0.00178420803254,0.00617240961966,-0.0123453568239,0.00701763017339,1,0.00368171153098,0.414349115073,5,14
hist_gradient_boosting,HistGradientBoosting,delta_liabilities_to_assets_1y,-0.00191384152034,0.00183061192249,-0.00501303230775,0.000248016925997,1,0.0030786610762,0.414349115073,5,15
