family,method,feature_name,mean_value_across_folds,mean_abs_value_across_folds,fold_sample_sd,direction,mean_within_fold_sign_stability,rank_within_method
xgboost,XGBoost interventional TreeSHAP,delta_roa_1y,0.0684740766218,0.0684740766218,0.0114356899338,unsigned,,9
xgboost,XGBoost interventional TreeSHAP,profit_margin_t,0.0541253898918,0.0541253898918,0.0246313302269,unsigned,,10
xgboost,XGBoost interventional TreeSHAP,current_ratio_change_1y,0.0531412644039,0.0531412644039,0.010066920324,unsigned,,11
xgboost,XGBoost interventional TreeSHAP,asset_growth_1y,0.0349902260928,0.0349902260928,0.0247440071608,unsigned,,12
xgboost,XGBoost interventional TreeSHAP,working_capital_to_assets_t,0.027068738369,0.027068738369,0.0115507840187,unsigned,,13
xgboost,XGBoost interventional TreeSHAP,delta_ocf_to_assets_1y,0.0251809134803,0.0251809134803,0.0153255633445,unsigned,,14
xgboost,XGBoost interventional TreeSHAP,asset_turnover_t,0.0168804186894,0.0168804186894,0.0119559488606,unsigned,,15
xgboost,XGBoost interventional TreeSHAP,liabilities_to_assets_t,0.00966098506542,0.00966098506542,0.00466731406711,unsigned,,16
xgboost,XGBoost interventional TreeSHAP,profit_margin_t__missing,0.00928375393338,0.00928375393338,0.00312510988238,unsigned,,17
xgboost,XGBoost interventional TreeSHAP,delta_liabilities_to_assets_1y,0.00725495363398,0.00725495363398,0.00281961881302,unsigned,,18
xgboost,XGBoost interventional TreeSHAP,asset_growth_1y__missing,0.00299282755866,0.00299282755866,0.00733090040685,unsigned,,19
xgboost,XGBoost interventional TreeSHAP,delta_roa_1y__missing,0.00297738311744,0.00297738311744,0.00709728603485,unsigned,,20
xgboost,XGBoost interventional TreeSHAP,delta_liabilities_to_assets_1y__missing,0.000908688388937,0.000908688388937,0.000944998522253,unsigned,,21
xgboost,XGBoost interventional TreeSHAP,accruals_to_assets_t__missing,0.000531615015573,0.000531615015573,0.000664229842985,unsigned,,22
xgboost,XGBoost interventional TreeSHAP,roa_t__missing,0.000216304918951,0.000216304918951,0.000440205751091,unsigned,,23
xgboost,XGBoost interventional TreeSHAP,current_ratio_change_1y__missing,9.20432010062e-05,9.20432010062e-05,0.000148821055491,unsigned,,24
xgboost,XGBoost interventional TreeSHAP,revenue_growth_1y__missing,3.32374578476e-05,3.32374578476e-05,8.14148120738e-05,unsigned,,25
xgboost,XGBoost interventional TreeSHAP,delta_ocf_to_assets_1y__missing,9.14606317464e-07,9.14606317464e-07,2.24031879331e-06,unsigned,,26
xgboost,XGBoost interventional TreeSHAP,asset_turnover_t__missing,1.71855105438e-07,1.71855105438e-07,4.20957318016e-07,unsigned,,27
xgboost,XGBoost interventional TreeSHAP,log_assets_t__missing,0,0,0,unsigned,,28
xgboost,XGBoost interventional TreeSHAP,ocf_to_assets_t__missing,0,0,0,unsigned,,29
xgboost,XGBoost interventional TreeSHAP,current_ratio_t__missing,0,0,0,unsigned,,30
xgboost,XGBoost interventional TreeSHAP,liabilities_to_assets_t__missing,0,0,0,unsigned,,31
xgboost,XGBoost interventional TreeSHAP,working_capital_to_assets_t__missing,0,0,0,unsigned,,32
xgboost,XGBoost interventional TreeSHAP,log1p_revenues_t__missing,0,0,0,unsigned,,33
xgboost,XGBoost interventional TreeSHAP,ocf_margin_t__missing,0,0,0,unsigned,,34
pytorch_mlp,MLP Integrated Gradients,log1p_revenues_t,0.449436254193,0.449436254193,0.0537618836106,unsigned,,1
pytorch_mlp,MLP Integrated Gradients,log_assets_t,0.343944159208,0.343944159208,0.0520086150697,unsigned,,2
pytorch_mlp,MLP Integrated Gradients,accruals_to_assets_t,0.241812073052,0.241812073052,0.0335627382933,unsigned,,3
pytorch_mlp,MLP Integrated Gradients,current_ratio_t,0.184609908544,0.184609908544,0.0277171234617,unsigned,,4
pytorch_mlp,MLP Integrated Gradients,asset_turnover_t,0.122891790639,0.122891790639,0.0254946463826,unsigned,,5
pytorch_mlp,MLP Integrated Gradients,current_ratio_change_1y,0.10052301737,0.10052301737,0.024693236885,unsigned,,6
pytorch_mlp,MLP Integrated Gradients,asset_growth_1y,0.10030554443,0.10030554443,0.0114034646205,unsigned,,7
pytorch_mlp,MLP Integrated Gradients,ocf_to_assets_t,0.0888548935231,0.0888548935231,0.0150150423662,unsigned,,8
pytorch_mlp,MLP Integrated Gradients,revenue_growth_1y,0.0840358413338,0.0840358413338,0.0310297602908,unsigned,,9
pytorch_mlp,MLP Integrated Gradients,delta_ocf_to_assets_1y__missing,0.0813354567642,0.0813354567642,0.032225607068,unsigned,,10
pytorch_mlp,MLP Integrated Gradients,roa_t,0.0768186594134,0.0768186594134,0.0199080674194,unsigned,,11
pytorch_mlp,MLP Integrated Gradients,working_capital_to_assets_t,0.048811121474,0.048811121474,0.00490938260403,unsigned,,12
pytorch_mlp,MLP Integrated Gradients,profit_margin_t,0.0466545173491,0.0466545173491,0.0185956674438,unsigned,,13
pytorch_mlp,MLP Integrated Gradients,current_ratio_change_1y__missing,0.0358629386073,0.0358629386073,0.0130074431893,unsigned,,14
pytorch_mlp,MLP Integrated Gradients,liabilities_to_assets_t,0.0348612421191,0.0348612421191,0.00557549913542,unsigned,,15
pytorch_mlp,MLP Integrated Gradients,revenue_growth_1y__missing,0.0312866941296,0.0312866941296,0.00888510804677,unsigned,,16
pytorch_mlp,MLP Integrated Gradients,delta_liabilities_to_assets_1y__missing,0.0286038909405,0.0286038909405,0.00916927055786,unsigned,,17
pytorch_mlp,MLP Integrated Gradients,asset_growth_1y__missing,0.0275195684867,0.0275195684867,0.0103623850298,unsigned,,18
pytorch_mlp,MLP Integrated Gradients,delta_roa_1y__missing,0.0264607471687,0.0264607471687,0.00846699276847,unsigned,,19
pytorch_mlp,MLP Integrated Gradients,delta_ocf_to_assets_1y,0.0261223699508,0.0261223699508,0.00724782445114,unsigned,,20
pytorch_mlp,MLP Integrated Gradients,ocf_margin_t,0.0238910841811,0.0238910841811,0.00646747644174,unsigned,,21
pytorch_mlp,MLP Integrated Gradients,profit_margin_t__missing,0.0229381559055,0.0229381559055,0.00370804908168,unsigned,,22
pytorch_mlp,MLP Integrated Gradients,asset_turnover_t__missing,0.0140036034209,0.0140036034209,0.00295597638728,unsigned,,23
pytorch_mlp,MLP Integrated Gradients,delta_roa_1y,0.0127104462394,0.0127104462394,0.00363703086479,unsigned,,24
pytorch_mlp,MLP Integrated Gradients,log1p_revenues_t__missing,0.0115322240496,0.0115322240496,0.00426578928907,unsigned,,25
pytorch_mlp,MLP Integrated Gradients,ocf_margin_t__missing,0.00986179861846,0.00986179861846,0.00698416624581,unsigned,,26
pytorch_mlp,MLP Integrated Gradients,delta_liabilities_to_assets_1y,0.00831214193843,0.00831214193843,0.00205372142232,unsigned,,27
pytorch_mlp,MLP Integrated Gradients,roa_t__missing,0.00296732620407,0.00296732620407,0.000561245652807,unsigned,,28
pytorch_mlp,MLP Integrated Gradients,accruals_to_assets_t__missing,0.0029386592099,0.0029386592099,0.00116361637157,unsigned,,29
pytorch_mlp,MLP Integrated Gradients,ocf_to_assets_t__missing,0.00120027985089,0.00120027985089,0.000545799491958,unsigned,,30
pytorch_mlp,MLP Integrated Gradients,working_capital_to_assets_t__missing,0.000953816299115,0.000953816299115,0.000434986254114,unsigned,,31
pytorch_mlp,MLP Integrated Gradients,liabilities_to_assets_t__missing,0.000872799383549,0.000872799383549,0.000160871393276,unsigned,,32
pytorch_mlp,MLP Integrated Gradients,current_ratio_t__missing,0.000437257286883,0.000437257286883,0.000431114996494,unsigned,,33
pytorch_mlp,MLP Integrated Gradients,log_assets_t__missing,8.45018401755e-05,8.45018401755e-05,0.000146187560011,unsigned,,34
