analysis_id,display_label,family,variant_kind,training_seed,n,positive_n,positive_share,pooled_oof_pr_auc,pooled_oof_roc_auc,descriptive_delta_pr_auc_vs_frozen_reference,descriptive_delta_roc_auc_vs_frozen_reference,direct_seed_matched_comparison,comparison_note,fold_pr_auc_mean,fold_pr_auc_sample_sd,fold_roc_auc_mean,fold_roc_auc_sample_sd
frozen_xgboost_three_seed_reference,Zamrożona referencja (średnia 3 seedów),xgboost,frozen_reference,AVERAGED_20260818_20260819_20260820,10760,1986,0.184572490706,0.413088933994,0.759870179701,0,0,False,Frozen XGBoost L+D+R reference; not seed-matched to variants.,,,,
B_without_missing_indicators,Bez wskaźników braków,xgboost,pipeline_robustness,20260818,10760,1986,0.184572490706,0.411305793778,0.759394717892,-0.00178314021543,-0.00047546180914,False,Single-seed secondary variant versus frozen three-seed average; delta is descriptive and does not authorize reranking.,0.41406827474,0.0701752548396,0.763424334885,0.0518617407096
complete_case,Complete case,xgboost,pipeline_robustness,20260818,8477,1556,0.183555503126,0.413204141015,0.772400296924,0.000115207021469,0.0125301172232,False,Single-seed secondary variant versus frozen three-seed average; delta is descriptive and does not authorize reranking.,0.417250509806,0.0670116288805,0.776295835753,0.0406122852494
deterioration_score_at_least_2,Target: score ≥2,xgboost,label_definition,20260818,10760,3706,0.344423791822,0.571491790078,0.723679529636,0.158402856084,-0.0361906500653,False,Single-seed secondary variant versus frozen three-seed average; delta is descriptive and does not authorize reranking.,0.572938845118,0.0706026235677,0.725329470312,0.0450924562916
deterioration_score_at_least_4,Target: score ≥4,xgboost,label_definition,20260818,10760,922,0.085687732342,0.259942055138,0.803712992121,-0.153146878856,0.0438428124199,False,Single-seed secondary variant versus frozen three-seed average; delta is descriptive and does not authorize reranking.,0.265027139313,0.0645278683446,0.804746150094,0.0453278639906
no_winsorization,Bez winsoryzacji,xgboost,pipeline_robustness,20260818,10760,1986,0.184572490706,0.410574865494,0.759487600805,-0.0025140684999,-0.000382578895671,False,Single-seed secondary variant versus frozen three-seed average; delta is descriptive and does not authorize reranking.,0.412812380827,0.0693797548323,0.763496396682,0.0514191923018
operating_performance_max_D1_D2_alternative_score_at_least_3,"Target: max(D1,D2)+D3+D4+D5 ≥3",xgboost,label_definition,20260818,10760,1402,0.13029739777,0.342154373479,0.784726594286,-0.0709345605151,0.0248564145851,False,Single-seed secondary variant versus frozen three-seed average; delta is descriptive and does not authorize reranking.,0.343231664436,0.0723473731938,0.787962301765,0.0390239351873
purged_economic_group_cv,Purged economic-group CV,xgboost,pipeline_robustness,20260818,10760,1986,0.184572490706,0.411445627342,0.756113285361,-0.00164330665137,-0.0037568943397,False,Single-seed secondary variant versus frozen three-seed average; delta is descriptive and does not authorize reranking.,0.413409621218,0.063549820932,0.761224508518,0.0491361580949
sparse_row_available_features_at_least_11_of_17,Wiersze ≥11/17 cech,xgboost,pipeline_robustness,20260818,10596,1942,0.183276708192,0.410583974048,0.761012272472,-0.00250495994573,0.00114209277103,False,Single-seed secondary variant versus frozen three-seed average; delta is descriptive and does not authorize reranking.,0.413702767557,0.068516741635,0.765284223553,0.0531851205341
