comparison_role,family,feature_block,configuration_id,selected_ansatz_id,point_pr_auc,pr_auc_ci_lower,pr_auc_ci_median,pr_auc_ci_upper,point_roc_auc,roc_auc_ci_lower,roc_auc_ci_median,roc_auc_ci_upper,point_delta_pr_auc_vs_mlp,delta_pr_auc_ci_lower,delta_pr_auc_ci_median,delta_pr_auc_ci_upper,point_delta_roc_auc_vs_mlp,delta_roc_auc_ci_lower,delta_roc_auc_ci_median,delta_roc_auc_ci_upper,bootstrap_probability_delta_pr_auc_gt_0,bootstrap_probability_delta_roc_auc_gt_0
REFINED_CLASSICAL_MLP,pytorch_mlp,L+D,model_stage_v1__coarse__pytorch_mlp__epochs_200__003,,0.39626323334082664,0.3757715595966271,0.39666601563193726,0.4194430675103049,0.7464090151461414,0.733914229537018,0.7466458301150165,0.7590926077519836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
QNN_CONFIRMED_BLOCK_REPRESENTATIVE,qnn,L,model_stage_v1__qnn_q2__t0,ROT_CNOT_RING,0.37296901918472536,0.3522879328219465,0.3736330008726607,0.3957904734142549,0.7323300371807118,0.7195338918391784,0.7323555958892188,0.7454019289733914,-0.02329421415610128,-0.039401522276726594,-0.02307306352171659,-0.006734545807574755,-0.014078977965429673,-0.019056167030409608,-0.014039604443783382,-0.009229664508772618,0.0045,0.0
QNN_CONFIRMED_BLOCK_REPRESENTATIVE,qnn,L+D,model_stage_v1__qnn_q2__t2,ROT_CNOT_RING,0.37396135391021335,0.3540565178081767,0.37437171957727905,0.3959000170355211,0.738855112066664,0.7260027805349933,0.7389969216721886,0.7520632359558058,-0.02230187943061329,-0.037102679144254545,-0.022282078438139535,-0.008424499429455277,-0.007553903079477453,-0.011902295239918832,-0.007619081609973655,-0.0033911967733440034,0.0025,0.0005
QNN_CONFIRMED_BLOCK_REPRESENTATIVE,qnn,L+D+R,model_stage_v1__qnn_q2__t0,ROT_CNOT_RING,0.38394764812793286,0.36432601498204126,0.3843153425676147,0.4075184120164437,0.7405838475896125,0.7278201738754653,0.7407835114775904,0.7538220856833788,-0.012315585212893776,-0.026888604887633713,-0.012347220082962823,0.0030822912528780154,-0.005825167556528954,-0.010427376361345525,-0.005789581087604911,-0.0009479350868148263,0.0555,0.009
