analysis_role,family,stage,feature_block,configuration_id,training_seed,status,failure_code,selected_ansatz_id,parameters,n,positive_n,positive_share,pooled_oof_pr_auc,pooled_oof_roc_auc,fold_pr_auc_mean,fold_pr_auc_sample_sd
SECONDARY_MLP_COMPARATOR_REFINEMENT,pytorch_mlp,refinement,L+D,model_stage_v1__refinement__pytorch_mlp__epochs_300__001,20260818,COMPLETE,,,"{""activation"":""relu"",""batch_size"":128,""epochs"":300,""hidden_layer_sizes"":[48,24],""imbalance"":""sqrt"",""learning_rate"":0.0001,""weight_decay"":0.0003}",10760,1986,0.1845724907063197,0.39525648353767245,0.7460260058384529,0.40067118830983733,0.05049798835455573
SECONDARY_MLP_COMPARATOR_REFINEMENT,pytorch_mlp,refinement,L+D,model_stage_v1__refinement__pytorch_mlp__epochs_300__006,20260818,COMPLETE,,,"{""activation"":""tanh"",""batch_size"":128,""epochs"":300,""hidden_layer_sizes"":[48],""imbalance"":""sqrt"",""learning_rate"":0.0001,""weight_decay"":0.003}",10760,1986,0.1845724907063197,0.3905718333471089,0.7418883116394199,0.3926561367687082,0.05031211951439771
SECONDARY_MLP_COMPARATOR_REFINEMENT,pytorch_mlp,refinement,L+D,model_stage_v1__refinement__pytorch_mlp__epochs_300__004,20260818,COMPLETE,,,"{""activation"":""tanh"",""batch_size"":128,""epochs"":300,""hidden_layer_sizes"":[24],""imbalance"":""sqrt"",""learning_rate"":0.0001,""weight_decay"":3e-05}",10760,1986,0.1845724907063197,0.3893513023294548,0.7449537060311169,0.39400550663878803,0.05247055832487781
SECONDARY_MLP_COMPARATOR_REFINEMENT,pytorch_mlp,refinement,L+D,model_stage_v1__refinement__pytorch_mlp__epochs_300__008,20260818,COMPLETE,,,"{""activation"":""tanh"",""batch_size"":128,""epochs"":300,""hidden_layer_sizes"":[96,48],""imbalance"":""sqrt"",""learning_rate"":0.0001,""weight_decay"":0.0003}",10760,1986,0.1845724907063197,0.3881968017604556,0.7439829834600121,0.39242815999341546,0.046412716147478036
SECONDARY_MLP_COMPARATOR_REFINEMENT,pytorch_mlp,refinement,L+D,model_stage_v1__refinement__pytorch_mlp__epochs_300__007,20260818,COMPLETE,,,"{""activation"":""tanh"",""batch_size"":128,""epochs"":300,""hidden_layer_sizes"":[48],""imbalance"":""sqrt"",""learning_rate"":0.002,""weight_decay"":0.003}",10760,1986,0.1845724907063197,0.3851207397614054,0.7415243265429239,0.38802477536287167,0.050901001834607315
SECONDARY_MLP_COMPARATOR_REFINEMENT,pytorch_mlp,refinement,L+D,model_stage_v1__refinement__pytorch_mlp__epochs_300__005,20260818,COMPLETE,,,"{""activation"":""tanh"",""batch_size"":128,""epochs"":300,""hidden_layer_sizes"":[48,24],""imbalance"":""sqrt"",""learning_rate"":0.002,""weight_decay"":0.003}",10760,1986,0.1845724907063197,0.3786314208191177,0.738376666067533,0.38245109632687857,0.05069205681197104
SECONDARY_MLP_COMPARATOR_REFINEMENT,pytorch_mlp,refinement,L+D,model_stage_v1__refinement__pytorch_mlp__epochs_300__002,20260818,COMPLETE,,,"{""activation"":""relu"",""batch_size"":128,""epochs"":300,""hidden_layer_sizes"":[48],""imbalance"":""sqrt"",""learning_rate"":0.002,""weight_decay"":0.0003}",10760,1986,0.1845724907063197,0.37487011302287016,0.7312969622552762,0.38284146959588705,0.04009659307761234
SECONDARY_MLP_COMPARATOR_REFINEMENT,pytorch_mlp,refinement,L+D,model_stage_v1__refinement__pytorch_mlp__epochs_300__003,20260818,COMPLETE,,,"{""activation"":""relu"",""batch_size"":128,""epochs"":300,""hidden_layer_sizes"":[96],""imbalance"":""none"",""learning_rate"":0.002,""weight_decay"":3e-05}",10760,1986,0.1845724907063197,0.35165661136056314,0.7053024866796089,0.35982024747855196,0.04038718140952025
