analysis_role,family,stage,feature_block,configuration_id,training_seed,status,failure_code,selected_ansatz_id,parameters,n,positive_n,positive_share,pooled_oof_pr_auc,pooled_oof_roc_auc,fold_pr_auc_mean,fold_pr_auc_sample_sd,delta_pr_auc_vs_refined_mlp,delta_roc_auc_vs_refined_mlp
REFINED_CLASSICAL_MLP_COMPARATOR,pytorch_mlp,coarse,L+D,model_stage_v1__coarse__pytorch_mlp__epochs_200__003,AVERAGED_20260818_20260819_20260820,COMPLETE,,,"{""activation"":""relu"",""batch_size"":256,""epochs"":200,""hidden_layer_sizes"":[64],""imbalance"":""sqrt"",""learning_rate"":0.0003,""weight_decay"":0.001}",10760,1986,0.1845724907063197,0.39626323334082664,0.7464090151461414,0.40042980115574167,0.050953430546842676,0.0,0.0
CONFIRMED_QNN_BLOCK_REPRESENTATIVE,qnn,qnn_q2,L,model_stage_v1__qnn_q2__t0,AVERAGED_20260818_20260819_20260820,COMPLETE,,ROT_CNOT_RING,"{""batch_size"":128,""epochs"":45,""imbalance"":""sqrt"",""layers"":2,""learning_rate"":0.01,""qubits_pca"":4,""reuse_q1_winner"":true,""weight_decay"":0.0001}",10760,1986,0.1845724907063197,0.37296901918472536,0.7323300371807118,0.37337946011561174,0.05864936764968103,-0.02329421415610128,-0.014078977965429673
CONFIRMED_QNN_BLOCK_REPRESENTATIVE,qnn,qnn_q2,L+D,model_stage_v1__qnn_q2__t2,AVERAGED_20260818_20260819_20260820,COMPLETE,,ROT_CNOT_RING,"{""batch_size"":128,""epochs"":45,""imbalance"":""sqrt"",""layers"":2,""learning_rate"":0.01,""qubits_pca"":6,""reuse_q1_winner"":false,""weight_decay"":0.0001}",10760,1986,0.1845724907063197,0.37396135391021335,0.738855112066664,0.3794557868353376,0.05062921042298156,-0.02230187943061329,-0.007553903079477453
CONFIRMED_QNN_BLOCK_REPRESENTATIVE,qnn,qnn_q2,L+D+R,model_stage_v1__qnn_q2__t0,AVERAGED_20260818_20260819_20260820,COMPLETE,,ROT_CNOT_RING,"{""batch_size"":128,""epochs"":45,""imbalance"":""sqrt"",""layers"":2,""learning_rate"":0.01,""qubits_pca"":4,""reuse_q1_winner"":true,""weight_decay"":0.0001}",10760,1986,0.1845724907063197,0.38394764812793286,0.7405838475896125,0.38547716529437376,0.06846274629548799,-0.012315585212893776,-0.005825167556528954
