liczba_dostepnych_cech,n_obserwacji,udzial_pct
1,1,0.005083625641807738
2,2,0.010167251283615475
4,239,1.2149865283920491
5,4,0.02033450256723095
6,1,0.005083625641807738
7,133,0.6761222103604291
8,27,0.13725789232880892
9,30,0.15250876925423212
10,43,0.2185959025977327
11,1740,8.845508616745462
12,1039,5.281887041838239
13,145,0.7371257180621219
14,291,1.4793350617660515
15,30,0.15250876925423212
16,292,1.4844186874078593
17,15654,79.57907579685832
