cecha,blok,n_obserwacji,n_dostepnych_non_na,n_finite,n_pominietych_w_statystykach,missingness_pct,n_pos_inf,n_neg_inf,mean,median,std_ddof1,IQR,P1,P5,P25,P75,P95,P99,min,max,n_zer,n_ujemnych,n_poza_1_5_IQR,poza_1_5_IQR_pct_finite,skewness
log_assets_t,L,19671,19666,19666,5,0.025418128209038687,0,0,19.35077715186368,19.75354370883404,2.953219265182797,3.8971163730949954,11.23908981738667,13.807922299033265,17.562930062945142,21.460046436040138,23.53919683939413,24.949176457444324,7.160069207596127,26.819308843986345,0,0,275,1.398352486524967,-0.6301228244007877
roa_t,L,19671,19261,19261,410,2.0842865131411723,0,0,-1.6914817036873917,0.0183158711680248,83.2430983849852,0.2120708850810791,-15.837120133500454,-2.198234743874917,-0.1435170043259053,0.0685538807551738,0.1671043812941943,0.37489991923895827,-11072.346365105008,300.9108291138159,2,8346,2918,15.149784538705156,-123.67038576663357
ocf_to_assets_t,L,19671,19376,19376,295,1.4996695643332825,0,0,-0.25505148640742237,0.06679005745475565,6.883222947829382,0.1590326495249786,-4.6909136645605365,-1.0141945462145074,-0.03880134574263412,0.12023130378234448,0.22224251379362106,0.36480305568263305,-717.1346989447549,12.5559060876368,1,5775,2785,14.373451692815856,-89.75732649120279
current_ratio_t,L,19671,19596,19596,75,0.3812719231355803,0,0,2.905902680098548,1.9219122001511733,5.690606643515779,1.9735719096102207,0.020012004882151702,0.2170465588297577,1.1876544937773832,3.161226403387604,7.948257887225761,17.368757196160185,8.393898452162413e-05,345.4071820248763,0,0,1624,8.287405592978159,26.29425381414237
liabilities_to_assets_t,L,19671,19637,19637,34,0.17284327182146306,0,0,2.3556362789936545,0.5378798992999114,86.92381725908606,0.4151767337068731,0.05865538544245312,0.12455998582911544,0.3347962757088209,0.749973009415694,2.4517591525667326,22.38371443771982,0.0,11913.4155088853,1,0,1588,8.086774965626114,131.48176488124943
working_capital_to_assets_t,L,19671,19594,19594,77,0.3914391744191958,0,0,-1.4651374873550502,0.20579440766639312,86.91559801511238,0.3576364024553177,-18.210745149614166,-1.1760647238811979,0.0429917266923689,0.4006281291476866,0.7228915015731959,0.8736648447890213,-11912.4155088853,7.381087785982678,1,3759,1420,7.247116464223742,-131.7811965375517
accruals_to_assets_t,L,19671,19229,19229,442,2.24696253367902,0,0,-1.4360852398454096,-0.0610271046338895,78.79444249908468,0.10812247973060181,-11.25395223540662,-1.0938054131415993,-0.1301124644900182,-0.0219899847594164,0.08664573437931394,0.401643213572544,-10491.659127625202,308.22115587248607,3,16218,2867,14.909771698996307,-124.34822379645891
asset_growth_1y,D,19671,17555,17555,2116,10.756951858065172,0,0,6.29843548616806,0.0468583487095102,342.3162598446631,0.25211917003929574,-0.6929681127285563,-0.3504913072839901,-0.050292851103038,0.20182631893625774,1.616094891123298,9.021819264429054,-0.9997006741242348,29528.54,2,6487,2656,15.12959270863002,75.07405211788394
delta_roa_1y,D,19671,17107,17107,2564,13.034416145595037,0,0,1.8478574079101477,-0.0014315259026715,217.99678872800726,0.09295811374697165,-8.355067100119284,-0.7021516432405656,-0.0519175882862859,0.04104052546068575,0.7171704111244798,9.773577068541625,-11044.201771315416,22773.94219173232,2,8790,4084,23.873268252762028,67.35470590570176
delta_ocf_to_assets_1y,D,19671,17200,17200,2471,12.561638960906919,0,0,0.13103945508532647,-0.00028233065391450004,11.48090987776842,0.0910859101170627,-2.279346276620362,-0.36854104978074925,-0.046683209679329575,0.044402700437733124,0.4109956588108183,2.869764996922209,-715.9689623374046,793.8540486117688,0,8653,3126,18.174418604651162,8.374792497308366
