cecha,blok,n_finite_target_0,n_pominiete_target_0,median_target_0,P25_target_0,P75_target_0,IQR_target_0,n_finite_target_1,n_pominiete_target_1,median_target_1,P25_target_1,P75_target_1,IQR_target_1,SMD_target1_minus_target0,Cliffs_delta_target1_vs_target0
log_assets_t,L,16046,2,20.178398134282467,18.186390879537434,21.679760110931817,3.4933692313943823,3620,3,17.650600440113113,15.439197833984172,19.534564220856005,4.095366386871833,-0.8323542232530909,-0.4498237284657438
roa_t,L,15715,333,0.0271296842417385,-0.07115946155222165,0.0713590914586618,0.14251855301088345,3546,77,-0.1433219211583567,-0.6879845292809024,0.039373297227878926,0.7273578265087813,-0.004685234123738343,-0.32410298070592236
ocf_to_assets_t,L,15812,236,0.07375934485097566,0.003729699850196325,0.12227166502214525,0.11854196517194893,3564,59,-0.03196880724222885,-0.38192014732486973,0.1032993310062996,0.4852194783311693,-0.04254458604127508,-0.2842229139924983
current_ratio_t,L,16002,46,1.914400457931234,1.2369095413728928,3.035222760143369,1.798313218770476,3594,29,1.972225571160918,0.7836300325425316,4.080950894162873,3.2973208616203413,0.15712739993610828,-0.006416421097056757
liabilities_to_assets_t,L,16025,23,0.5411860924891971,0.3510410654069324,0.733211233211233,0.38217016780430063,3612,11,0.5113084242965171,0.26773863290937805,0.9416270906698803,0.6738884577605022,0.0036085696631569545,-0.0037675766166859193
working_capital_to_assets_t,L,16002,46,0.2024546754642669,0.05384547611493548,0.37966216699457606,0.3258166908796406,3592,31,0.2271853711675343,-0.0700884027731926,0.5230618497743692,0.5931502525475618,-0.0026651128193002868,0.018411430475422152
accruals_to_assets_t,L,15693,355,-0.0564708305139595,-0.1123504335610134,-0.0209677804390899,0.09138265312192351,3536,87,-0.10198080864580214,-0.28323382022210725,-0.03079462547943925,0.252439194742668,-0.0011766975891179682,-0.21307306799901848
asset_growth_1y,D,14183,1865,0.0479451217649035,-0.0385174648273679,0.1814797691628727,0.2199972339902406,3372,251,0.04031512975800585,-0.13029180426239528,0.37412930397644545,0.5044211082388408,-0.010635002939476671,-0.018798631914353936
delta_roa_1y,D,13848,2200,-0.001601500253578,-0.041585068450913004,0.031047718679530326,0.07263278713044333,3259,364,0.00142905075112,-0.1440049114148765,0.18838710619604154,0.3323920176109181,-0.008995688865319191,0.03338162869068628
delta_ocf_to_assets_1y,D,13921,2127,-0.001059952531349,-0.0410920085424663,0.0358880668302759,0.07698007537274221,3279,344,0.0070264653705365,-0.09469323376950575,0.1248694661016623,0.21956269987116805,0.013394081661828358,0.052843235405889866
current_ratio_change_1y,D,14138,1910,-0.014591905765197252,-0.1747553836090368,0.15972354681411835,0.33447893042315513,3336,287,0.008636317926600249,-0.27849545379696733,0.48080068747933724,0.7592961412763046,0.03685053786239835,0.046501630213724
delta_liabilities_to_assets_1y,D,14154,1894,0.0055455038919915,-0.03425722292413912,0.0598647548675625,0.09412197779170162,3359,264,0.0061526001020297,-0.09343287402983111,0.13510299650703436,0.22853587053686547,0.002612282974147483,0.0015997632136743878
log1p_revenues_t,R,14873,1175,20.09006728694876,18.029739664644012,21.580516291692,3.5507766270479877,3304,319,17.05092822807483,14.689676390620129,19.212058534504166,4.5223821438840375,-0.9197310605482865,-0.4866389344228268
profit_margin_t,R,14760,1288,0.0269577404715843,-0.07666896565934946,0.07866455926096595,0.1553335249203154,3277,346,-0.1579457798069318,-1.8963150827987467,0.0409257391581294,1.9372408219568762,-0.07470481372956435,-0.3280656509647184
ocf_margin_t,R,14858,1190,0.0770856211423128,0.0058519531330141,0.14859958325846107,0.14274763012544697,3297,326,-0.0283217673894416,-0.98917804689513,0.1053174741513594,1.0944955210464895,-0.11795969549861662,-0.30710844585031905
asset_turnover_t,R,14871,1177,0.8829166999440939,0.5339864935197083,1.4040882562968866,0.8701017627771783,3301,322,0.735774249950788,0.3170416511775778,1.3717607973421926,1.0547191461646148,-0.010698409951514339,-0.12534025070417265
revenue_growth_1y,R,12954,3094,0.06295844672345491,-0.023958470041631624,0.18827110628447039,0.212229576326102,2938,685,0.058031493513283905,-0.1249932358830589,0.3725070092627435,0.4975002451458024,0.0551865943075715,-0.006135865579970701
