cecha,n_imputowanych_technicznie,imputowane_technicznie_pct,mediana_uzyta_wylacznie_do_VIF
log_assets_t,5,0.025418128209038687,19.75354370883404
roa_t,410,2.0842865131411723,0.0183158711680248
ocf_to_assets_t,295,1.4996695643332825,0.06679005745475565
current_ratio_t,75,0.3812719231355803,1.9219122001511733
liabilities_to_assets_t,34,0.17284327182146306,0.5378798992999114
working_capital_to_assets_t,77,0.3914391744191958,0.20579440766639312
accruals_to_assets_t,442,2.24696253367902,-0.0610271046338895
asset_growth_1y,2116,10.756951858065172,0.0468583487095102
delta_roa_1y,2564,13.034416145595037,-0.0014315259026715
delta_ocf_to_assets_1y,2471,12.561638960906919,-0.00028233065391450004
current_ratio_change_1y,2197,11.1687255350516,-0.011936849774941801
delta_liabilities_to_assets_1y,2158,10.970464135021098,0.0056119183867526
log1p_revenues_t,1494,7.59493670886076,19.6586519981592
profit_margin_t,1634,8.306644298713843,0.0185383708613796
ocf_margin_t,1516,7.70677647298053,0.0670493494832272
asset_turnover_t,1499,7.620354837069798,0.8629588655981353
revenue_growth_1y,3779,19.21102130039144,0.06210596762333505
