size_quartile,n,missing_all_feature_cells_pct,available_features_mean,available_features_median,log_assets_t__missing_pct,roa_t__missing_pct,ocf_to_assets_t__missing_pct,current_ratio_t__missing_pct,liabilities_to_assets_t__missing_pct,working_capital_to_assets_t__missing_pct,accruals_to_assets_t__missing_pct,asset_growth_1y__missing_pct,delta_roa_1y__missing_pct,delta_ocf_to_assets_1y__missing_pct,current_ratio_change_1y__missing_pct,delta_liabilities_to_assets_1y__missing_pct,log1p_revenues_t__missing_pct,profit_margin_t__missing_pct,ocf_margin_t__missing_pct,asset_turnover_t__missing_pct,revenue_growth_1y__missing_pct
Brak lub niedodatnie aktywa,5,72.94117647058823,4.6,4.0,100.0,100.0,100.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,100.0,0.0,0.0,0.0,100.0,20.0
Q1 – najmniejsze,4912,5.624880245257712,16.04377035830619,17.0,0.0,2.056188925081433,2.076547231270358,1.1807817589576548,0.24429967426710095,1.1807817589576548,2.44299674267101,3.9698697068403908,7.675081433224756,7.695439739413682,5.333876221498372,4.377035830618892,9.609120521172638,9.995928338762216,9.955211726384364,9.609120521172638,18.22068403908795
Q2,4918,6.133531086285673,15.957299715331436,17.0,0.0,2.338348922326149,1.5860105734038226,0.16266775111834078,0.1423342822285482,0.16266775111834078,2.3993493289955268,9.53639690931273,11.874745831638878,11.224074827165515,9.69906466043107,9.719398129320862,6.852379015860106,7.6250508336722245,6.8930459536396915,6.852379015860106,17.202114680764538
Q3,4916,8.082850715550663,15.625915378356387,17.0,0.0,2.644426362896664,1.7493897477624083,0.04068348250610252,0.10170870626525631,0.04068348250610252,2.7868185516680226,15.235964198535395,17.066720911310007,16.395443449959316,15.317331163547598,15.378356387306754,7.119609438567942,8.116354759967454,7.160292921074044,7.119609438567942,21.13506916192026
Q4 – największe,4920,7.321855571496891,15.755284552845529,17.0,0.0,1.1991869918699187,0.4878048780487805,0.08130081300813008,0.10162601626016261,0.08130081300813008,1.2601626016260163,14.1869918699187,15.426829268292682,14.83739837398374,14.268292682926829,14.308943089430896,6.808943089430894,7.5,6.829268292682928,6.808943089430894,20.284552845528456
