x_t_status,n,target_0_n,target_1_n,target_1_pct,unique_cik,udzial_proby_pct
available_core,19134,15632,3502,18.30249817079544,4329,97.27009303034924
partially_available,537,416,121,22.532588454376164,524,2.729906969650755
