feature_year,n,missing_all_feature_cells_pct,available_features_mean,available_features_median,log_assets_t__missing_pct,roa_t__missing_pct,ocf_to_assets_t__missing_pct,current_ratio_t__missing_pct,liabilities_to_assets_t__missing_pct,working_capital_to_assets_t__missing_pct,accruals_to_assets_t__missing_pct,asset_growth_1y__missing_pct,delta_roa_1y__missing_pct,delta_ocf_to_assets_1y__missing_pct,current_ratio_change_1y__missing_pct,delta_liabilities_to_assets_1y__missing_pct,log1p_revenues_t__missing_pct,profit_margin_t__missing_pct,ocf_margin_t__missing_pct,asset_turnover_t__missing_pct,revenue_growth_1y__missing_pct
2011,1907,2.224004441839662,16.62191924488726,17.0,0.05243838489774515,0.7865757734661771,0.47194546407970633,0.47194546407970633,0.26219192448872575,0.47194546407970633,0.9963293130571578,0.26219192448872575,1.5731515469323543,1.1536444677503932,0.7341373885684321,0.47194546407970633,5.610907184058731,6.135291033036182,5.768222338751967,5.663345568956476,6.92186680650236
2012,2311,10.940005599816734,15.140199048031155,17.0,0.0,9.562959757680657,9.043704024231934,0.6490696668109044,0.17308524448290782,0.6490696668109044,9.865858935525747,14.712245781047164,15.92384249242752,15.49112938122025,15.274772825616617,14.885331025530075,14.409346603202078,15.144958892254435,14.539160536564259,14.409346603202078,21.246213760276937
2013,2393,7.905410388141884,15.65608023401588,17.0,0.041788549937317176,1.671541997492687,0.8775595486836606,0.41788549937317176,0.1671541997492687,0.41788549937317176,1.880484747179273,11.867948182198077,18.05265357292102,17.425825323861265,12.244045131633932,12.035102381947347,7.981613038027581,8.942749686585875,8.106978687839533,8.023401587964898,24.237358963643963
2014,2300,6.194373401534527,15.94695652173913,17.0,0.043478260869565216,1.2173913043478262,0.6086956521739131,0.5217391304347827,0.34782608695652173,0.5652173913043479,1.2608695652173914,11.695652173913043,13.56521739130435,13.043478260869565,12.304347826086955,12.086956521739129,4.869565217391305,5.478260869565217,4.913043478260869,4.913043478260869,17.869565217391305
2015,2241,5.961099299157413,15.98661311914324,17.0,0.04462293618920125,0.8478357875948238,0.6693440428380187,0.35698348951361,0.178491744756805,0.35698348951361,0.9370816599732262,10.620258813029897,12.628290941543954,12.449799196787147,11.244979919678714,10.932619366354306,5.399375278893351,5.622489959839357,5.443998215082552,5.443998215082552,18.16153502900491
2016,2133,6.320840572515926,15.925457102672292,17.0,0.0,2.0159399906235347,0.32817627754336615,0.09376465072667604,0.04688232536333802,0.09376465072667604,2.297233942803563,12.09563994374121,14.955461790904828,13.502109704641349,12.189404594467886,12.236286919831224,4.26629160806376,6.14158462259728,4.453820909517113,4.26629160806376,18.47163619315518
2017,1549,5.912733072570539,15.994835377663009,17.0,0.0,0.8392511297611362,0.25823111684958033,0.19367333763718528,0.12911555842479017,0.19367333763718528,0.9683666881859263,9.554551323434474,11.29761136216914,10.974822466107167,9.683666881859263,9.683666881859263,6.972240154938671,7.6823757262750165,7.036797934151065,6.972240154938671,18.076178179470624
2018,1511,7.318877253085218,15.755790866975513,17.0,0.0,0.3309066843150232,0.1985440105890139,0.3970880211780278,0.1985440105890139,0.3970880211780278,0.3309066843150232,10.787557908669756,12.574454003970882,12.574454003970882,11.317008603573791,11.052283256121774,10.191925876902713,10.324288550628722,10.258107213765719,10.191925876902713,23.295830575777632
2019,1638,7.789269553975436,15.675824175824175,17.0,0.0,1.15995115995116,0.4884004884004884,0.3663003663003663,0.06105006105006105,0.3663003663003663,1.282051282051282,12.515262515262515,14.041514041514041,13.614163614163614,12.942612942612945,12.759462759462759,9.645909645909647,10.43956043956044,9.768009768009769,9.645909645909647,23.32112332112332
2020,1688,6.760524114859214,15.850710900473933,17.0,0.05924170616113744,0.4146919431279621,0.2962085308056872,0.23696682464454977,0.11848341232227488,0.2962085308056872,0.5924170616113744,12.203791469194313,13.329383886255924,13.270142180094787,12.381516587677725,12.263033175355451,7.049763033175356,7.345971563981042,7.2274881516587675,7.109004739336493,20.734597156398106
