,wartosc
unikalne spółki (CIK),4426.0
średnia liczba obserwacji na spółkę,4.444419340262088
mediana liczby obserwacji na spółkę,4.0
minimum obserwacji na spółkę,1.0
maksimum obserwacji na spółkę,10.0
spółki z co najmniej jednym target=1,2252.0
spółki z więcej niż jednym target=1,902.0
