comparison_id,display_label,comparison_group,model_a,model_a_label,model_a_seed,model_b,model_b_label,model_b_seed,feature_block,representation,request_mapping,rows,positive_n,economic_group_count,point_ap_model_a,point_ap_model_b,point_delta_ap_a_minus_b,delta_ap_ci_lower,delta_ap_ci_median,delta_ap_ci_upper,delta_ap_ci_zero_relation,point_roc_auc_model_a,point_roc_auc_model_b,point_delta_roc_auc_a_minus_b,delta_roc_auc_ci_lower,delta_roc_auc_ci_median,delta_roc_auc_ci_upper,delta_roc_auc_ci_zero_relation,bootstrap_replicates_requested,bootstrap_replicates_valid,bootstrap_replicates_invalid,interval_method,selection_adjusted,analysis_role
qnn_minus_pca_matched_mlp,QNN − PCA-matched MLP,seed_matched_qnn_controls,qnn_seed_20260818,QNN — seed 20260818,20260818,pca_matched_mlp_seed_20260818,PCA-matched MLP — seed 20260818,20260818,L+D+R,same_fold_fitted_qnn_pca_4_components,EXACT_REQUESTED_CONTROL,10760,1986,3340,0.3837976698667534,0.3932267250510134,-0.009429055184260016,-0.022514520450036605,-0.009284408282803719,0.003927633826260851,INCLUDES_ZERO,0.7389300324519184,0.7420747374314526,-0.0031447049795342297,-0.006539486864969013,-0.0030990363367455753,0.00042310677191200743,INCLUDES_ZERO,2000,2000,0,paired_cluster_percentile_95_linear,False,POST_HOC_EXPLORATORY_CONDITIONAL_ON_SELECTION
qnn_minus_pca_matched_fixed_l2_logistic,QNN − PCA-matched fixed-L2 logistic,seed_matched_qnn_controls,qnn_seed_20260818,QNN — seed 20260818,20260818,pca_matched_fixed_l2_logistic_seed_20260818,PCA-matched fixed-L2 logistic — seed 20260818,20260818,L+D+R,same_fold_fitted_qnn_pca_4_components,EXISTING_FIXED_L2_LOGISTIC_CONTROL_NOT_FIXED_L2_MLP,10760,1986,3340,0.3837976698667534,0.3815904455164122,0.002207224350341208,-0.013657678255098452,0.0019006925751479942,0.017610115441690728,INCLUDES_ZERO,0.7389300324519184,0.739261047987841,-0.00033101553592262967,-0.004411883410451139,-0.00042394477854446055,0.003913449067580854,INCLUDES_ZERO,2000,2000,0,paired_cluster_percentile_95_linear,False,POST_HOC_EXPLORATORY_CONDITIONAL_ON_SELECTION
