analysis_id,display_label,training_seed,pooled_oof_ap,pooled_oof_roc_auc,qnn_seed_20260818_ap,qnn_seed_20260818_roc_auc,descriptive_delta_ap_vs_qnn_seed_20260818,descriptive_delta_roc_auc_vs_qnn_seed_20260818,status,inferential_role
first_nonselected_ansatz_in_Q1_registry_order_at_fixed_final_settings,RY_RZ_CZ_BRICKWORK,20260818,0.376834766481,0.741482461801,0.3837976698667534,0.7389300324519184,-0.006962903385753394,0.0025524293490816197,EXISTING_PREDEFINED_VARIANT_NO_NEW_FIT,DESCRIPTIVE_ONLY_NO_NEW_BOOTSTRAP
replace_entangling_gates_with_identity,Brak splątania (identity),20260818,0.373547890816,0.741361028223,0.3837976698667534,0.7389300324519184,-0.010249779050753416,0.0024309957710816343,EXISTING_PREDEFINED_VARIANT_NO_NEW_FIT,DESCRIPTIVE_ONLY_NO_NEW_BOOTSTRAP
second_nonselected_ansatz_in_Q1_registry_order_at_fixed_final_settings,RY_CRX_RING,20260818,0.377729601523,0.742116630868,0.3837976698667534,0.7389300324519184,-0.006068068343753397,0.0031865984160815986,EXISTING_PREDEFINED_VARIANT_NO_NEW_FIT,DESCRIPTIVE_ONLY_NO_NEW_BOOTSTRAP
swap_4_and_6_qubit_PCA_at_fixed_other_settings,PCA 6 qubitów,20260818,0.372854090963,0.738191961924,0.3837976698667534,0.7389300324519184,-0.010943578903753415,-0.0007380705279182997,EXISTING_PREDEFINED_VARIANT_NO_NEW_FIT,DESCRIPTIVE_ONLY_NO_NEW_BOOTSTRAP
