comparison_id,display_label,comparison_group,model_a,model_a_label,model_a_seed,model_b,model_b_label,model_b_seed,feature_block,representation,request_mapping,rows,positive_n,economic_group_count,point_ap_model_a,point_ap_model_b,point_delta_ap_a_minus_b,delta_ap_ci_lower,delta_ap_ci_median,delta_ap_ci_upper,delta_ap_ci_zero_relation,point_roc_auc_model_a,point_roc_auc_model_b,point_delta_roc_auc_a_minus_b,delta_roc_auc_ci_lower,delta_roc_auc_ci_median,delta_roc_auc_ci_upper,delta_roc_auc_ci_zero_relation,bootstrap_replicates_requested,bootstrap_replicates_valid,bootstrap_replicates_invalid,interval_method,selection_adjusted,analysis_role
xgboost_minus_hist_gradient_boosting,XGBoost − HistGradientBoosting,tree_models,xgboost,XGBoost — średnia 3 seedów,AVERAGED_20260818_20260819_20260820,hist_gradient_boosting,HistGradientBoosting — średnia 3 seedów,AVERAGED_20260818_20260819_20260820,L+D+R,standard_family_pipelines_same_oof_membership,EXACT_REQUESTED_COMPARISON,10760,1986,3340,0.41308893399384633,0.4078102954039723,0.005278638589874041,-0.004753526006264899,0.00481001502288439,0.014579571139181308,INCLUDES_ZERO,0.7598701797010347,0.7587946661506314,0.001075513550403251,-0.0017880486075181946,0.0010713853337140367,0.004101806509122087,INCLUDES_ZERO,2000,2000,0,paired_cluster_percentile_95_linear,False,POST_HOC_EXPLORATORY_CONDITIONAL_ON_SELECTION
xgboost_minus_random_forest,XGBoost − Random Forest,tree_models,xgboost,XGBoost — średnia 3 seedów,AVERAGED_20260818_20260819_20260820,random_forest,Random Forest — średnia 3 seedów,AVERAGED_20260818_20260819_20260820,L+D+R,standard_family_pipelines_same_oof_membership,EXACT_REQUESTED_COMPARISON,10760,1986,3340,0.41308893399384633,0.4066369584050779,0.006451975588768422,-0.001956231656644103,0.006245953911249297,0.014735887380750885,INCLUDES_ZERO,0.7598701797010347,0.7587838197677795,0.001086359933255121,-0.0016485331869486226,0.0011329945073730863,0.004147114503132121,INCLUDES_ZERO,2000,2000,0,paired_cluster_percentile_95_linear,False,POST_HOC_EXPLORATORY_CONDITIONAL_ON_SELECTION
