comparison_id,oof_key_set_same,labels_groups_folds_years_same,training_seed_protocol_same,pca_sha256_same_all_folds,preprocessing_sha256_same_all_folds,train_membership_sha256_same_all_folds,validation_membership_sha256_same_all_folds,software_environment_sha256_same_all_folds,alignment_status
xgboost_minus_hist_gradient_boosting,True,True,True,NOT_APPLICABLE,NOT_ASSERTED_FAMILY_SPECIFIC,NOT_ASSERTED_FROM_OOF_ONLY,OOF_KEYS_AND_METADATA_MATCH,NOT_ASSERTED,PASS_PAIRED_OOF_ALIGNMENT
xgboost_minus_random_forest,True,True,True,NOT_APPLICABLE,NOT_ASSERTED_FAMILY_SPECIFIC,NOT_ASSERTED_FROM_OOF_ONLY,OOF_KEYS_AND_METADATA_MATCH,NOT_ASSERTED,PASS_PAIRED_OOF_ALIGNMENT
qnn_minus_pca_matched_mlp,True,True,True,True,True,True,True,True,PASS_SEED_AND_PCA_MATCHED
qnn_minus_pca_matched_fixed_l2_logistic,True,True,True,True,True,True,True,False,PASS_SEED_AND_PCA_MATCHED
