model_label,family,feature_block,configuration_id,seed_protocol,seed_count,pooled_oof_pr_auc_seed_mean,pooled_oof_pr_auc_seed_sample_sd,pooled_oof_pr_auc_seed_min,pooled_oof_pr_auc_seed_max,pooled_oof_pr_auc_score_averaged_ensemble,pooled_oof_roc_auc_seed_mean,pooled_oof_roc_auc_seed_sample_sd,pooled_oof_roc_auc_seed_min,pooled_oof_roc_auc_seed_max,pooled_oof_roc_auc_score_averaged_ensemble,status
XGBoost,xgboost,L+D+R,model_stage_v1__coarse__xgboost__004,THREE_SEEDS_PLUS_RAW_SCORE_AVERAGE,3,0.413029730759176,0.0012876978694637616,0.41167748793642267,0.4142413382247647,0.41308893399384633,0.7598201466951283,0.0004891722364859261,0.7594860513220995,0.7603816239548736,0.7598701797010347,DESCRIPTIVE_ONLY_N3_NOT_CONFIDENCE_INTERVAL
HistGradientBoosting,hist_gradient_boosting,L+D+R,model_stage_v1__coarse__hist_gradient_boosting__007,THREE_SEEDS_PLUS_RAW_SCORE_AVERAGE,3,0.40781029540397223,6.798699777552591e-17,0.4078102954039723,0.4078102954039723,0.4078102954039723,0.7587946661506314,0.0,0.7587946661506314,0.7587946661506314,0.7587946661506314,DESCRIPTIVE_ONLY_N3_NOT_CONFIDENCE_INTERVAL
Random Forest,random_forest,L+D+R,model_stage_v1__coarse__random_forest__003,THREE_SEEDS_PLUS_RAW_SCORE_AVERAGE,3,0.40639140356115283,0.0008910898056776731,0.4056807268881428,0.40739113699510365,0.4066369584050779,0.7587303243363066,7.737190920372837e-05,0.7586730317143644,0.7588183388116174,0.7587838197677795,DESCRIPTIVE_ONLY_N3_NOT_CONFIDENCE_INTERVAL
QNN,qnn,L+D+R,model_stage_v1__qnn_q2__t0,THREE_SEEDS_PLUS_RAW_SCORE_AVERAGE,3,0.38025353534302453,0.004009883383499171,0.3759010616000902,0.3837976698667534,0.38394764812793286,0.7386912302996592,0.0024976351482347567,0.7360827708709083,0.7410608875761514,0.7405838475896125,DESCRIPTIVE_ONLY_N3_NOT_CONFIDENCE_INTERVAL
