statement_scope_xbrl_status,observations,x_t_available_core,x_t_available_core_rate,L_complete,L_complete_rate,D_complete,D_complete_rate,R_complete,R_complete_rate,current_assets_coverage,pair_assets_coverage,current_liabilities_coverage,pair_liabilities_coverage,current_current_assets_coverage,pair_current_assets_coverage,current_current_liabilities_coverage,pair_current_liabilities_coverage,current_revenues_coverage,pair_revenues_coverage,current_net_income_coverage,pair_net_income_coverage,current_operating_cash_flow_coverage,pair_operating_cash_flow_coverage,feature_log_assets_t_coverage,feature_roa_t_coverage,feature_ocf_to_assets_t_coverage,feature_current_ratio_t_coverage,feature_liabilities_to_assets_t_coverage,feature_working_capital_to_assets_t_coverage,feature_accruals_to_assets_t_coverage,feature_asset_growth_1y_coverage,feature_delta_roa_1y_coverage,feature_delta_ocf_to_assets_1y_coverage,feature_current_ratio_change_1y_coverage,feature_delta_liabilities_to_assets_1y_coverage,feature_log1p_revenues_t_coverage,feature_profit_margin_t_coverage,feature_ocf_margin_t_coverage,feature_asset_turnover_t_coverage,feature_revenue_growth_1y_coverage
available,52976,45797,0.8644858048927816,45797,0.8644858048927816,40677,0.767838266384778,24389,0.4603782845061915,0.9837662337662337,0.8927250075505889,0.9765365448504983,0.8861937481123527,0.9432195711265479,0.852178344910903,0.9419170945333736,0.8528578979160375,0.5672191180912111,0.49882965871337964,0.9469948655995167,0.8507437330111749,0.9613221081244337,0.8625792811839323,0.9741392328601631,0.9306289640591966,0.9477688009664754,0.9238334340078526,0.9627755964965268,0.9204356689821807,0.9244941105406221,0.8797002416188463,0.8295265780730897,0.8457414678344911,0.8282618544246452,0.8681478405315615,0.5671247357293869,0.5319389912413168,0.5456621866505588,0.5640289942615524,0.4784241920869828
not_available_non_xbrl,3927,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
