dimension,group,observations,x_core_available,x_core_coverage,target_available,target_coverage,supervised_L_available,supervised_L_coverage
feature_year,2011,5662,3406,0.6015542211232779,1926,0.34016248675379723,1877,0.3315083009537266
feature_year,2012,5364,3730,0.6953765846383296,2317,0.4319537658463833,2067,0.38534675615212527
feature_year,2013,5262,4077,0.7748004561003421,2397,0.45553021664766247,2341,0.4448878753325732
feature_year,2014,5148,4076,0.7917637917637917,2301,0.44696969696969696,2254,0.43783993783993785
feature_year,2015,4851,3926,0.8093176664605236,2245,0.4627911770768914,2212,0.455988455988456
feature_year,2016,4592,3649,0.7946428571428571,2203,0.4797473867595819,2083,0.4536149825783972
feature_year,2017,4408,3702,0.8398366606170599,1550,0.35163339382940106,1534,0.34800362976406535
feature_year,2018,4295,3684,0.8577415599534343,1514,0.35250291036088477,1497,0.3485448195576251
feature_year,2019,4150,3653,0.8802409638554217,1642,0.3956626506024096,1618,0.38987951807228916
feature_year,2020,4206,3719,0.8842130290061816,1689,0.4015691868758916,1676,0.3984783642415597
feature_year,2021,4542,4111,0.9051078819903127,1806,0.39762219286657857,1790,0.3940995156318802
feature_year,2022,4423,4064,0.9188333710151481,1742,0.39385032783178836,1730,0.39113723716934207
research_sector,Extended_Candidate,20339,14942,0.734647721126899,6643,0.32661389448842126,6471,0.31815723486897096
research_sector,Industrials_Manufacturing,22259,19003,0.8537220899411474,9903,0.4448986926636417,9645,0.4333078754661036
research_sector,Retail,3793,2967,0.7822304244661218,1562,0.41181123121539676,1489,0.392565251779594
research_sector,Technology,10512,8885,0.845224505327245,5224,0.4969558599695586,5074,0.4826864535768645
historical_sic,1000.0,1108,616,0.555956678700361,85,0.07671480144404332,78,0.0703971119133574
historical_sic,1040.0,619,392,0.6332794830371568,72,0.11631663974151858,70,0.11308562197092084
historical_sic,1090.0,104,55,0.5288461538461539,11,0.10576923076923077,10,0.09615384615384616
historical_sic,1220.0,73,56,0.7671232876712328,13,0.1780821917808219,13,0.1780821917808219
historical_sic,1221.0,120,99,0.825,42,0.35,42,0.35
historical_sic,1311.0,2400,1676,0.6983333333333334,466,0.19416666666666665,459,0.19125
historical_sic,1381.0,340,258,0.7588235294117647,79,0.2323529411764706,78,0.22941176470588234
historical_sic,1382.0,318,252,0.7924528301886793,80,0.25157232704402516,79,0.24842767295597484
historical_sic,1389.0,350,297,0.8485714285714285,114,0.32571428571428573,113,0.32285714285714284
historical_sic,1400.0,281,207,0.7366548042704626,76,0.2704626334519573,73,0.2597864768683274
historical_sic,1520.0,67,39,0.582089552238806,23,0.34328358208955223,23,0.34328358208955223
historical_sic,1531.0,261,13,0.04980842911877394,3,0.011494252873563218,3,0.011494252873563218
historical_sic,1540.0,40,21,0.525,10,0.25,9,0.225
historical_sic,1600.0,117,107,0.9145299145299145,60,0.5128205128205128,60,0.5128205128205128
historical_sic,1623.0,97,88,0.9072164948453608,55,0.5670103092783505,54,0.5567010309278351
historical_sic,1700.0,174,137,0.7873563218390804,98,0.5632183908045977,92,0.5287356321839081
historical_sic,1731.0,52,51,0.9807692307692307,42,0.8076923076923077,42,0.8076923076923077
historical_sic,2000.0,167,143,0.8562874251497006,104,0.6227544910179641,103,0.6167664670658682
historical_sic,2011.0,26,18,0.6923076923076923,14,0.5384615384615384,14,0.5384615384615384
historical_sic,2013.0,23,20,0.8695652173913043,12,0.5217391304347826,11,0.4782608695652174
historical_sic,2015.0,39,36,0.9230769230769231,31,0.7948717948717948,31,0.7948717948717948
historical_sic,2020.0,64,44,0.6875,21,0.328125,18,0.28125
historical_sic,2024.0,25,22,0.88,15,0.6,14,0.56
historical_sic,2030.0,103,84,0.8155339805825242,68,0.6601941747572816,67,0.6504854368932039
historical_sic,2033.0,35,28,0.8,24,0.6857142857142857,22,0.6285714285714286
historical_sic,2040.0,113,99,0.8761061946902655,69,0.6106194690265486,69,0.6106194690265486
historical_sic,2050.0,49,39,0.7959183673469388,15,0.30612244897959184,15,0.30612244897959184
historical_sic,2052.0,19,18,0.9473684210526315,14,0.7368421052631579,13,0.6842105263157895
historical_sic,2060.0,98,76,0.7755102040816326,41,0.41836734693877553,38,0.3877551020408163
historical_sic,2070.0,57,44,0.7719298245614035,33,0.5789473684210527,32,0.5614035087719298
historical_sic,2080.0,287,232,0.8083623693379791,92,0.3205574912891986,88,0.30662020905923343
historical_sic,2082.0,67,63,0.9402985074626866,8,0.11940298507462686,8,0.11940298507462686
historical_sic,2086.0,104,89,0.8557692307692307,60,0.5769230769230769,57,0.5480769230769231
historical_sic,2090.0,115,92,0.8,63,0.5478260869565217,61,0.5304347826086957
historical_sic,2092.0,7,5,0.7142857142857143,4,0.5714285714285714,3,0.42857142857142855
historical_sic,2100.0,42,38,0.9047619047619048,14,0.3333333333333333,14,0.3333333333333333
historical_sic,2111.0,83,74,0.891566265060241,30,0.3614457831325301,30,0.3614457831325301
historical_sic,2200.0,35,27,0.7714285714285715,11,0.3142857142857143,11,0.3142857142857143
historical_sic,2211.0,24,21,0.875,15,0.625,14,0.5833333333333334
historical_sic,2221.0,27,24,0.8888888888888888,14,0.5185185185185185,14,0.5185185185185185
historical_sic,2253.0,4,4,1.0,3,0.75,3,0.75
historical_sic,2273.0,36,34,0.9444444444444444,33,0.9166666666666666,33,0.9166666666666666
historical_sic,2300.0,188,154,0.8191489361702128,86,0.4574468085106383,85,0.4521276595744681
historical_sic,2320.0,92,77,0.8369565217391305,32,0.34782608695652173,30,0.32608695652173914
historical_sic,2330.0,48,25,0.5208333333333334,13,0.2708333333333333,12,0.25
