registrant_role_resolved,observations,x_t_available_core,x_t_available_core_rate,L_complete,L_complete_rate,D_complete,D_complete_rate,R_complete,R_complete_rate,current_assets_coverage,pair_assets_coverage,current_liabilities_coverage,pair_liabilities_coverage,current_current_assets_coverage,pair_current_assets_coverage,current_current_liabilities_coverage,pair_current_liabilities_coverage,current_revenues_coverage,pair_revenues_coverage,current_net_income_coverage,pair_net_income_coverage,current_operating_cash_flow_coverage,pair_operating_cash_flow_coverage,feature_log_assets_t_coverage,feature_roa_t_coverage,feature_ocf_to_assets_t_coverage,feature_current_ratio_t_coverage,feature_liabilities_to_assets_t_coverage,feature_working_capital_to_assets_t_coverage,feature_accruals_to_assets_t_coverage,feature_asset_growth_1y_coverage,feature_delta_roa_1y_coverage,feature_delta_ocf_to_assets_1y_coverage,feature_current_ratio_change_1y_coverage,feature_delta_liabilities_to_assets_1y_coverage,feature_log1p_revenues_t_coverage,feature_profit_margin_t_coverage,feature_ocf_margin_t_coverage,feature_asset_turnover_t_coverage,feature_revenue_growth_1y_coverage
joint_co_registrant,247,2,0.008097165991902834,2,0.008097165991902834,2,0.008097165991902834,0,0.0,0.016194331983805668,0.016194331983805668,0.016194331983805668,0.016194331983805668,0.012145748987854251,0.012145748987854251,0.012145748987854251,0.012145748987854251,0.0,0.0,0.012145748987854251,0.012145748987854251,0.016194331983805668,0.016194331983805668,0.016194331983805668,0.012145748987854251,0.016194331983805668,0.012145748987854251,0.016194331983805668,0.012145748987854251,0.012145748987854251,0.016194331983805668,0.012145748987854251,0.016194331983805668,0.012145748987854251,0.016194331983805668,0.0,0.0,0.0,0.0,0.0
joint_primary_registrant,308,241,0.7824675324675324,241,0.7824675324675324,226,0.7337662337662337,113,0.36688311688311687,0.9415584415584416,0.8961038961038961,0.8831168831168831,0.8376623376623377,0.8603896103896104,0.814935064935065,0.8603896103896104,0.814935064935065,0.38961038961038963,0.36688311688311687,0.9253246753246753,0.8766233766233766,0.9318181818181818,0.8831168831168831,0.9415584415584416,0.922077922077922,0.9318181818181818,0.8603896103896104,0.8831168831168831,0.8603896103896104,0.922077922077922,0.8961038961038961,0.8733766233766234,0.8831168831168831,0.814935064935065,0.8376623376623377,0.38961038961038963,0.38961038961038963,0.38961038961038963,0.38961038961038963,0.36688311688311687
single_filer_non_xbrl_registrant,3680,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_filer_xbrl_registrant,52668,45554,0.8649274701906281,45554,0.8649274701906281,40449,0.7679995443153338,24276,0.4609250398724083,0.9839371155160629,0.8926293005240373,0.9770069112174375,0.8864016100858206,0.9436469962785752,0.8523391812865497,0.9423369028632187,0.8530227082858661,0.5682577656261867,0.4996012759170654,0.9470646312751576,0.8505354294827979,0.9614186982608035,0.8623832308042835,0.9742538163590795,0.930622009569378,0.9477861319966583,0.9241474899369636,0.963165489481279,0.9207298549403813,0.9244512797144376,0.8795283663704716,0.8292131844763424,0.8454469507101086,0.8282828282828283,0.8682501708817498,0.5681628313207261,0.5327713222450065,0.5465747702589808,0.5650489861016177,0.4790764790764791
