historical_sic,observations,x_t_available_core,x_t_available_core_rate,L_complete,L_complete_rate,D_complete,D_complete_rate,R_complete,R_complete_rate,current_assets_coverage,pair_assets_coverage,current_liabilities_coverage,pair_liabilities_coverage,current_current_assets_coverage,pair_current_assets_coverage,current_current_liabilities_coverage,pair_current_liabilities_coverage,current_revenues_coverage,pair_revenues_coverage,current_net_income_coverage,pair_net_income_coverage,current_operating_cash_flow_coverage,pair_operating_cash_flow_coverage,feature_log_assets_t_coverage,feature_roa_t_coverage,feature_ocf_to_assets_t_coverage,feature_current_ratio_t_coverage,feature_liabilities_to_assets_t_coverage,feature_working_capital_to_assets_t_coverage,feature_accruals_to_assets_t_coverage,feature_asset_growth_1y_coverage,feature_delta_roa_1y_coverage,feature_delta_ocf_to_assets_1y_coverage,feature_current_ratio_change_1y_coverage,feature_delta_liabilities_to_assets_1y_coverage,feature_log1p_revenues_t_coverage,feature_profit_margin_t_coverage,feature_ocf_margin_t_coverage,feature_asset_turnover_t_coverage,feature_revenue_growth_1y_coverage
1000.0,1108,616,0.555956678700361,616,0.555956678700361,565,0.509927797833935,87,0.07851985559566788,0.7743682310469314,0.7391696750902527,0.7851985559566786,0.7554151624548736,0.6525270758122743,0.6200361010830325,0.6949458483754513,0.6678700361010831,0.148014440433213,0.13628158844765342,0.7572202166064982,0.7184115523465704,0.7472924187725631,0.7048736462093863,0.7472924187725631,0.7084837545126353,0.7093862815884476,0.6010830324909747,0.7436823104693141,0.5992779783393501,0.6958483754512635,0.6958483754512635,0.6471119133574007,0.6498194945848376,0.5613718411552346,0.6922382671480144,0.148014440433213,0.10018050541516245,0.10469314079422383,0.14620938628158844,0.08393501805054152
1040.0,619,392,0.6332794830371568,392,0.6332794830371568,366,0.5912762520193862,69,0.11147011308562198,0.8045234248788369,0.7673667205169629,0.8093699515347335,0.7738287560581584,0.7544426494345718,0.7189014539579968,0.7075928917609047,0.6768982229402262,0.21809369951534732,0.1987075928917609,0.7673667205169629,0.7237479806138933,0.7802907915993538,0.7318255250403877,0.7819063004846527,0.7366720516962844,0.7512116316639742,0.6817447495961227,0.7819063004846527,0.6801292407108239,0.7269789983844911,0.7415185783521809,0.6882067851373183,0.7011308562197092,0.6429725363489499,0.7415185783521809,0.21809369951534732,0.12762520193861066,0.13893376413570274,0.21163166397415187,0.12277867528271405
1090.0,104,55,0.5288461538461539,55,0.5288461538461539,53,0.5096153846153846,9,0.08653846153846154,0.7788461538461539,0.7403846153846154,0.8076923076923077,0.7692307692307693,0.625,0.5865384615384616,0.6057692307692307,0.5673076923076923,0.2692307692307692,0.25961538461538464,0.7884615384615384,0.7692307692307693,0.7884615384615384,0.7692307692307693,0.7115384615384616,0.6826923076923077,0.6826923076923077,0.5769230769230769,0.7115384615384616,0.5576923076923077,0.6826923076923077,0.6634615384615384,0.6538461538461539,0.6538461538461539,0.5384615384615384,0.6634615384615384,0.2692307692307692,0.125,0.125,0.22115384615384615,0.10576923076923077
1220.0,73,56,0.7671232876712328,56,0.7671232876712328,53,0.726027397260274,15,0.2054794520547945,0.863013698630137,0.8356164383561644,0.863013698630137,0.8356164383561644,0.863013698630137,0.8356164383561644,0.8493150684931506,0.821917808219178,0.2054794520547945,0.2054794520547945,0.7808219178082192,0.7534246575342466,0.8356164383561644,0.7945205479452054,0.863013698630137,0.7808219178082192,0.8356164383561644,0.8493150684931506,0.863013698630137,0.8493150684931506,0.7808219178082192,0.8356164383561644,0.7534246575342466,0.7945205479452054,0.821917808219178,0.8356164383561644,0.2054794520547945,0.2054794520547945,0.2054794520547945,0.2054794520547945,0.2054794520547945
1221.0,120,99,0.825,99,0.825,96,0.8,49,0.4083333333333333,0.9166666666666666,0.9083333333333333,0.8583333333333333,0.85,0.9166666666666666,0.9083333333333333,0.9166666666666666,0.9083333333333333,0.45,0.425,0.8833333333333333,0.8583333333333333,0.9083333333333333,0.8916666666666667,0.9166666666666666,0.8833333333333333,0.9083333333333333,0.9166666666666666,0.8583333333333333,0.9166666666666666,0.8833333333333333,0.9083333333333333,0.8583333333333333,0.8916666666666667,0.9083333333333333,0.85,0.45,0.43333333333333335,0.45,0.45,0.425
1311.0,2400,1676,0.6983333333333334,1676,0.6983333333333334,1598,0.6658333333333334,661,0.27541666666666664,0.8704166666666666,0.8483333333333334,0.7825,0.7604166666666666,0.8533333333333334,0.8308333333333333,0.8554166666666667,0.8329166666666666,0.31416666666666665,0.30083333333333334,0.8183333333333334,0.7858333333333334,0.8408333333333333,0.8079166666666666,0.8645833333333334,0.8075,0.8320833333333333,0.8441666666666666,0.7733333333333333,0.8416666666666667,0.8033333333333333,0.84,0.7720833333333333,0.7975,0.8175,0.7495833333333334,0.31416666666666665,0.2891666666666667,0.30041666666666667,0.31333333333333335,0.28708333333333336
1381.0,340,258,0.7588235294117647,258,0.7588235294117647,245,0.7205882352941176,94,0.27647058823529413,0.8852941176470588,0.8735294117647059,0.8058823529411765,0.7941176470588235,0.8735294117647059,0.8558823529411764,0.8764705882352941,0.861764705882353,0.3235294117647059,0.3058823529411765,0.8205882352941176,0.788235294117647,0.861764705882353,0.8235294117647058,0.8823529411764706,0.8176470588235294,0.8588235294117647,0.8647058823529412,0.8029411764705883,0.8647058823529412,0.8176470588235294,0.8647058823529412,0.7794117647058824,0.8176470588235294,0.8441176470588235,0.788235294117647,0.3235294117647059,0.29411764705882354,0.31176470588235294,0.3235294117647059,0.29411764705882354
1382.0,318,252,0.7924528301886793,252,0.7924528301886793,244,0.7672955974842768,90,0.2830188679245283,0.9088050314465409,0.8867924528301887,0.8930817610062893,0.8742138364779874,0.8710691823899371,0.8522012578616353,0.8867924528301887,0.8679245283018868,0.330188679245283,0.3270440251572327,0.8773584905660378,0.8616352201257862,0.889937106918239,0.8710691823899371,0.8930817610062893,0.8522012578616353,0.8679245283018868,0.8616352201257862,0.8742138364779874,0.8553459119496856,0.8459119496855346,0.8679245283018868,0.8301886792452831,0.8427672955974843,0.8301886792452831,0.8490566037735849,0.330188679245283,0.2893081761006289,0.3113207547169811,0.32075471698113206,0.3081761006289308
1389.0,350,297,0.8485714285714285,297,0.8485714285714285,282,0.8057142857142857,139,0.39714285714285713,0.9142857142857143,0.88,0.8942857142857142,0.86,0.9,0.8657142857142858,0.8942857142857142,0.86,0.4228571428571429,0.41714285714285715,0.8942857142857142,0.86,0.8942857142857142,0.8485714285714285,0.9142857142857143,0.8942857142857142,0.8942857142857142,0.8885714285714286,0.8942857142857142,0.8885714285714286,0.8942857142857142,0.88,0.8485714285714285,0.8485714285714285,0.8542857142857143,0.86,0.4228571428571429,0.4085714285714286,0.4085714285714286,0.4228571428571429,0.4
1400.0,281,207,0.7366548042704626,207,0.7366548042704626,187,0.6654804270462633,91,0.3238434163701068,0.8896797153024911,0.8398576512455516,0.8932384341637011,0.8434163701067615,0.8540925266903915,0.8042704626334519,0.8362989323843416,0.7900355871886121,0.3914590747330961,0.38434163701067614,0.8149466192170819,0.7473309608540926,0.8754448398576512,0.8291814946619217,0.8825622775800712,0.797153024911032,0.8612099644128114,0.8220640569395018,0.8790035587188612,0.8185053380782918,0.797153024911032,0.8327402135231317,0.7259786476868327,0.8113879003558719,0.7722419928825622,0.8291814946619217,0.3914590747330961,0.33807829181494664,0.3594306049822064,0.3879003558718861,0.3487544483985765
