historical_sic,historical_sic_description,company_years,unique_ciks
5960.0,RETAIL-NONSTORE RETAILERS,162,33
2510.0,HOUSEHOLD FURNITURE,159,18
7311.0,SERVICES-ADVERTISING AGENCIES,159,27
8741.0,SERVICES-MANAGEMENT SERVICES,159,26
8062.0,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC",154,23
5810.0,RETAIL-EATING & DRINKING PLACES,151,28
3312.0,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)",150,14
4400.0,WATER TRANSPORTATION,150,20
3812.0,"SEARCH, DETECTION, NAVAGATION, GUIDANCE, AERONAUTICAL SYS",149,23
4731.0,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO,149,20
1600.0,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS,139,16
8082.0,SERVICES-HOME HEALTH CARE SERVICES,135,22
3620.0,ELECTRICAL INDUSTRIAL APPARATUS,132,20
5912.0,RETAIL-DRUG STORES AND PROPRIETARY STORES,132,28
1221.0,BITUMINOUS COAL & LIGNITE SURFACE MINING,131,21
3490.0,MISCELLANEOUS FABRICATED METAL PRODUCTS,130,18
8000.0,SERVICES-HEALTH SERVICES,130,39
2711.0,NEWSPAPERS: PUBLISHING OR PUBLISHING & PRINTING,129,19
5140.0,WHOLESALE-GROCERIES & RELATED PRODUCTS,129,22
7350.0,SERVICES-MISCELLANEOUS EQUIPMENT RENTAL & LEASING,129,19
3728.0,"AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC",128,17
2090.0,MISCELLANEOUS FOOD PREPARATIONS & KINDRED PRODUCTS,127,27
2040.0,GRAIN MILL PRODUCTS,126,20
3651.0,HOUSEHOLD AUDIO & VIDEO EQUIPMENT,125,21
3571.0,ELECTRONIC COMPUTERS,122,17
3569.0,"GENERAL INDUSTRIAL MACHINERY & EQUIPMENT, NEC",121,22
5141.0,"WHOLESALE-GROCERIES, GENERAL LINE",121,18
2750.0,COMMERCIAL PRINTING,120,23
2086.0,BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS,119,17
3572.0,COMPUTER STORAGE DEVICES,118,22
2030.0,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES",117,19
2621.0,PAPER MILLS,117,14
4011.0,"RAILROADS, LINE-HAUL OPERATING",117,14
3350.0,ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS,116,13
7320.0,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES",116,14
3590.0,MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT,114,15
1090.0,MISCELLANEOUS METAL ORES,113,25
2060.0,SUGAR & CONFECTIONERY PRODUCTS,111,16
3561.0,PUMPS & PUMPING EQUIPMENT,111,9
1623.0,"WATER, SEWER, PIPELINE, COMM & POWER LINE CONSTRUCTION",110,11
5190.0,WHOLESALE-MISCELLANEOUS NONDURABLE GOODS,109,20
5211.0,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,109,14
5090.0,WHOLESALE-MISC DURABLE GOODS,106,20
2320.0,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS",105,15
3531.0,CONSTRUCTION MACHINERY & EQUIP,105,14
3621.0,MOTORS & GENERATORS,105,15
7510.0,SERVICES-AUTO RENTAL & LEASING (NO DRIVERS),105,17
5045.0,WHOLESALE-COMPUTERS & PERIPHERAL EQUIPMENT & SOFTWARE,104,17
3560.0,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,103,13
3751.0,"MOTORCYCLES, BICYCLES & PARTS",102,16
5311.0,RETAIL-DEPARTMENT STORES,102,13
5700.0,"RETAIL-HOME FURNITURE, FURNISHINGS & EQUIPMENT STORES",101,15
3585.0,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,99,18
8093.0,"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC",99,17
4412.0,DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT,98,11
5080.0,"WHOLESALE-MACHINERY, EQUIPMENT & SUPPLIES",98,10
5531.0,RETAIL-AUTO & HOME SUPPLY STORES,96,13
7830.0,SERVICES-MOTION PICTURE THEATERS,96,11
2111.0,CIGARETTES,95,17
3440.0,FABRICATED STRUCTURAL METAL PRODUCTS,95,12
