research_universe_company_year_id,cik10,feature_year,research_sector,anchor_accession,review_categories,resolver_status,resolver_reason,tag,statement_file,statement_label,statement_concepts,resolver_current_value,resolver_current_end,direct_statement_value,direct_value_matches,exact_accession,review_outcome
0001128281-2018,0001128281,2018,Extended_Candidate,0001437749-19-006042,distinct_tag_label_pair,selected,primary_statement_consolidated_revenue_confirmed,RevenueFromContractWithCustomerIncludingAssessedTax,R4.htm,REVENUE,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,11118452.0,2018-12-31,11118452.0,True,0001437749-19-006042,PASS_primary_statement_value_confirmed
0001132509-2020,0001132509,2020,Extended_Candidate,0001477932-21-001712,largest_revenue_change,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R4.htm,"Revenue, net",us-gaap:Revenues,237980.0,2020-12-31,237980.0,True,0001477932-21-001712,PASS_primary_statement_value_confirmed
0001137789-2013,0001137789,2013,Technology,0001047469-13-008213,available_year_2013,selected,primary_statement_consolidated_revenue_confirmed,SalesRevenueNet,R4.htm,Revenue,us-gaap:SalesRevenueNet,14351000000.0,2013-06-28,14351000000.0,True,0001047469-13-008213,PASS_primary_statement_value_confirmed
0001139463-2012,0001139463,2012,Extended_Candidate,0001193125-12-502900,ambiguous_frozen_and_xbrl_period_end_materially_disagree,ambiguous,frozen_and_xbrl_period_end_materially_disagree,,,,,,,,False,0001193125-12-502900,PASS_fail_closed_no_value
0001145197-2021,0001145197,2021,Industrials_Manufacturing,0001145197-22-000012,distinct_tag_label_pair,selected,primary_statement_consolidated_revenue_confirmed,RevenueFromContractWithCustomerExcludingAssessedTax,R5.htm,Revenue (Related Party Transactions Note 5),us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,1098800000.0,2021-12-31,1098800000.0,True,0001145197-22-000012,PASS_primary_statement_value_confirmed
0001173489-2015,0001173489,2015,Technology,0001193125-16-501526,available_year_2015,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R4.htm,Total revenues,us-gaap:Revenues,59499000.0,2015-12-31,59499000.0,True,0001193125-16-501526,PASS_primary_statement_value_confirmed
0001173514-2016,0001173514,2016,Industrials_Manufacturing,0001173514-17-000019,available_year_2016,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R2.htm,Revenues,us-gaap:Revenues,2569700000.0,2016-12-31,2569700000.0,True,0001173514-17-000019,PASS_primary_statement_value_confirmed
0001177394-2017,0001177394,2017,Technology,0001177394-18-000010,available_year_2017,selected,primary_statement_consolidated_revenue_confirmed,SalesRevenueNet,R4.htm,Total revenue,us-gaap:SalesRevenueNet,17045700000.0,2017-11-30,17045700000.0,True,0001177394-18-000010,PASS_primary_statement_value_confirmed
0001178879-2022,0001178879,2022,Industrials_Manufacturing,0001178879-23-000004,ambiguous_primary_statement_revenue_not_confirmed,ambiguous,primary_statement_revenue_not_confirmed,,,,,,,,False,0001178879-23-000004,PASS_fail_closed_no_value
0001274032-2013,0001274032,2013,Technology,0001193125-14-098417,available_sector_Technology,selected,primary_statement_consolidated_revenue_confirmed,SalesRevenueNet,R4.htm,Net sales,us-gaap:SalesRevenueNet,37895000.0,2013-12-31,37895000.0,True,0001193125-14-098417,PASS_primary_statement_value_confirmed
0001275014-2020,0001275014,2020,Technology,0001564590-21-007569,available_year_2020,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R4.htm,Total revenues,us-gaap:Revenues,1398600000.0,2020-12-25,1398600000.0,True,0001564590-21-007569,PASS_primary_statement_value_confirmed
0001283140-2021,0001283140,2021,Extended_Candidate,0001283140-22-000009,ambiguous_multiple_primary_statement_revenue_rows,ambiguous,multiple_primary_statement_revenue_rows,,,,,,,,False,0001283140-22-000009,PASS_fail_closed_no_value
0001287213-2014,0001287213,2014,Industrials_Manufacturing,0001558370-15-000337,available_year_2014,selected,primary_statement_consolidated_revenue_confirmed,SalesRevenueNet,R4.htm,Net sales,us-gaap:SalesRevenueNet,303511000.0,2014-12-31,303511000.0,True,0001558370-15-000337,PASS_primary_statement_value_confirmed
0001304741-2017,0001304741,2017,Extended_Candidate,0001663577-18-000156,ambiguous_exact_anchor_annual_current_context_unresolved,ambiguous,exact_anchor_annual_current_context_unresolved,,,,,,,,False,0001663577-18-000156,PASS_fail_closed_no_value
0001316625-2013,0001316625,2013,Technology,0001316625-13-000024,available_year_2013,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R2.htm,Total revenue (Note 2),us-gaap:Revenues,767227000.0,2013-06-28,767227000.0,True,0001316625-13-000024,PASS_primary_statement_value_confirmed
0001318268-2021,0001318268,2021,Retail,0001493152-22-024166,largest_revenue_change,selected,primary_statement_consolidated_revenue_confirmed,RevenueFromContractWithCustomerIncludingAssessedTax,R4.htm,Revenues,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,1243655.0,2021-12-31,1243655.0,True,0001493152-22-024166,PASS_primary_statement_value_confirmed
0001322952-2016,0001322952,2016,Extended_Candidate,0001017386-17-000104,largest_revenue_change,selected,primary_statement_consolidated_revenue_confirmed,SalesRevenueNet,R4.htm,NET REVENUE,us-gaap:SalesRevenueNet,5201542.0,2016-12-31,5201542.0,True,0001017386-17-000104,PASS_primary_statement_value_confirmed
0001333513-2014,0001333513,2014,Technology,0001144204-15-011777,available_year_2014,selected,primary_statement_consolidated_revenue_confirmed,SalesRevenueNet,R4.htm,Net revenue,us-gaap:SalesRevenueNet,854415000.0,2014-12-31,854415000.0,True,0001144204-15-011777,PASS_primary_statement_value_confirmed
0001335493-2014,0001335493,2014,Industrials_Manufacturing,0001013762-15-000404,available_sector_Industrials_Manufacturing,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R4.htm,Revenues,us-gaap:Revenues,74943.0,2014-06-30,74943.0,True,0001013762-15-000404,PASS_primary_statement_value_confirmed
0001337553-2018,0001337553,2018,Industrials_Manufacturing,0001628280-19-002369,distinct_tag_label_pair,selected,primary_statement_consolidated_revenue_confirmed,RevenueFromContractWithCustomerExcludingAssessedTax,R4.htm,"Total revenues, net",us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,24181000.0,2018-12-31,24181000.0,True,0001628280-19-002369,PASS_primary_statement_value_confirmed
0001364479-2015,0001364479,2015,Extended_Candidate,0001364479-16-000045,available_year_2015,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R4.htm,Total revenues,us-gaap:Revenues,10535000000.0,2015-12-31,10535000000.0,True,0001364479-16-000045,PASS_primary_statement_value_confirmed
0001367920-2017,0001367920,2017,Industrials_Manufacturing,0001367920-18-000012,largest_revenue_change,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R4.htm,Total revenue,us-gaap:Revenues,143891000.0,2017-12-31,143891000.0,True,0001367920-18-000012,PASS_primary_statement_value_confirmed
0001368148-2018,0001368148,2018,Industrials_Manufacturing,0001628280-19-002976,ambiguous_multiple_primary_statement_revenue_rows,ambiguous,multiple_primary_statement_revenue_rows,,,,,,,,False,0001628280-19-002976,PASS_fail_closed_no_value
