research_universe_company_year_id,accession,feature_year,cik10,company_name_historical,historical_sic,research_sector,registrant_role,registrant_role_resolved,joint_filing_flag,accession_registrant_count,eligible_observation_count,xbrl_instance,scope_status,scope_reason,statement_entity_ciks,manual_series_id,manual_evidence,non_operating_issuer_ciks,economic_entity_status,recommended_membership_action,economic_entity_reason,economic_group_id,economic_statement_scope_id,potential_non_operating_finance_registrant
0001136352-2018,0001136352-19-000003,2018,0001136352,CRESTWOOD EQUITY PARTNERS LP,5960.0,Retail,primary_xbrl_registrant,joint_primary_registrant,True,,1,ceqp-20181231.xml,resolved,primary_10k_distinct_statement_sets_mapped,0001136352;0001304464,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,registrant_cik_matches_distinct_primary_statement_suite,joint_group_0001136352,0001136352-19-000003:0001136352,False
0001525874-2018,0001144204-19-017487,2018,0001525874,Sky Wolf Wind Turbine Corp,3510.0,Industrials_Manufacturing,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001525874,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001525874,0001144204-19-017487:0001525874,False
0001747079-2018,0001144204-19-017506,2018,0001747079,"Twin River Worldwide Holdings, Inc.",7011.0,Extended_Candidate,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001747079,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001747079,0001144204-19-017506:0001747079,False
0001498148-2018,0001161697-18-000318,2018,0001498148,ON THE MOVE SYSTEMS CORP.,3714.0,Industrials_Manufacturing,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001498148,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001498148,0001161697-18-000318:0001498148,False
0001438901-2018,0001161697-18-000525,2018,0001438901,"MEDCAREERS GROUP, Inc.",7389.0,Extended_Candidate,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001438901,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001438901,0001161697-18-000525:0001438901,False
0001443388-2018,0001165527-18-000219,2018,0001443388,GREEN HYGIENICS HOLDINGS INC.,1000.0,Extended_Candidate,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001443388,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001443388,0001165527-18-000219:0001443388,False
0001421907-2018,0001165527-19-000022,2018,0001421907,Trident Brands Inc,2020.0,Industrials_Manufacturing,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001421907,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001421907,0001165527-19-000022:0001421907,False
0000902739-2018,0001166691-19-000005,2018,0000902739,"NBCUniversal Media, LLC",4841.0,Extended_Candidate,co_registrant_or_non_xbrl_registrant,joint_co_registrant,True,,2,cmcsa-20181231.xml,resolved,primary_10k_distinct_statement_sets_mapped,0000902739;0001166691,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,registrant_cik_matches_distinct_primary_statement_suite,joint_group_0000902739,0001166691-19-000005:0000902739,False
0001166691-2018,0001166691-19-000005,2018,0001166691,COMCAST CORP,4841.0,Extended_Candidate,primary_xbrl_registrant,joint_primary_registrant,True,,2,cmcsa-20181231.xml,resolved,primary_10k_distinct_statement_sets_mapped,0000902739;0001166691,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,registrant_cik_matches_distinct_primary_statement_suite,joint_group_0000902739,0001166691-19-000005:0001166691,False
0001365916-2018,0001171843-19-006229,2018,0001365916,"AMYRIS, INC.",2860.0,Industrials_Manufacturing,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001365916,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001365916,0001171843-19-006229:0001365916,False
0001581280-2018,0001193125-18-354577,2018,0001581280,Twist Bioscience Corp,2836.0,Industrials_Manufacturing,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001581280,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001581280,0001193125-18-354577:0001581280,False
0000850033-2018,0001193125-19-061205,2018,0000850033,BP PRUDHOE BAY ROYALTY TRUST,2911.0,Industrials_Manufacturing,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0000850033,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0000850033,0001193125-19-061205:0000850033,False
