size_bucket,observations,x_t_available_core,x_t_available_core_rate,L_complete,L_complete_rate,D_complete,D_complete_rate,R_complete,R_complete_rate,current_assets_coverage,pair_assets_coverage,current_liabilities_coverage,pair_liabilities_coverage,current_current_assets_coverage,pair_current_assets_coverage,current_current_liabilities_coverage,pair_current_liabilities_coverage,current_revenues_coverage,pair_revenues_coverage,current_net_income_coverage,pair_net_income_coverage,current_operating_cash_flow_coverage,pair_operating_cash_flow_coverage,feature_log_assets_t_coverage,feature_roa_t_coverage,feature_ocf_to_assets_t_coverage,feature_current_ratio_t_coverage,feature_liabilities_to_assets_t_coverage,feature_working_capital_to_assets_t_coverage,feature_accruals_to_assets_t_coverage,feature_asset_growth_1y_coverage,feature_delta_roa_1y_coverage,feature_delta_ocf_to_assets_1y_coverage,feature_current_ratio_change_1y_coverage,feature_delta_liabilities_to_assets_1y_coverage,feature_log1p_revenues_t_coverage,feature_profit_margin_t_coverage,feature_ocf_margin_t_coverage,feature_asset_turnover_t_coverage,feature_revenue_growth_1y_coverage
Q1,12905,10456,0.8102285935683844,10456,0.8102285935683844,9428,0.7305695466873305,4198,0.32530027121270827,1.0,0.9523440526927548,0.9871367686943046,0.9432003099573809,0.9256877179387835,0.8754746222394421,0.898876404494382,0.8579620302208446,0.44509879891514914,0.39651297946532355,0.9633475397132895,0.8932971716388997,0.952808988764045,0.8771018984889578,1.0,0.9633475397132895,0.952808988764045,0.8647036032545525,0.9871367686943046,0.8652460286710577,0.945757458349477,0.9370786516853933,0.8700503680743897,0.8587369236729949,0.8037969779155366,0.9231305695466874,0.4449438202247191,0.3862843858969392,0.3849670670282836,0.44509879891514914,0.33917086400619917
Q2,12901,11826,0.9166731261142547,11826,0.9166731261142547,11050,0.856522750174405,6666,0.5167041314626774,1.0,0.9407797845128285,0.9873653205177894,0.9280675916595613,0.9851174327571506,0.9258972172699791,0.9746531276645222,0.9163630726300287,0.5925897217269979,0.5466242926904891,0.9574451592899775,0.8965971630106193,0.9761258817145958,0.9133400511588249,1.0,0.9574451592899775,0.9761258817145958,0.9726377800170529,0.9873653205177894,0.9726377800170529,0.9543446244477173,0.9404697310286024,0.8953569490737152,0.9127199441903728,0.9134950779009379,0.9273699713200527,0.5923571816138283,0.5652275017440509,0.578404774823657,0.5925897217269979,0.5331369661266568
Q3,12897,11773,0.9128479491354579,11773,0.9128479491354579,10159,0.7877025664883306,6876,0.5331472435450104,1.0,0.8703574474684035,0.9904628983484531,0.8614406451112662,0.9833294564627433,0.8538419787547492,0.9814685585795146,0.8524463053423277,0.6526323951306505,0.55974257579282,0.9406063425602853,0.8150732728541521,0.9765837016360394,0.8502752578118943,1.0,0.9406063425602853,0.9765837016360394,0.9813910211677134,0.9904628983484531,0.9813910211677134,0.9385903698534543,0.8702023726448012,0.8144529735597426,0.8500426455764907,0.8515933938125145,0.8611304954640614,0.6526323951306505,0.6244863146468171,0.6498410483058076,0.6526323951306505,0.556951228967977
Q4,12903,11742,0.910020925366194,11742,0.910020925366194,10040,0.7781136169882973,6649,0.5153065178640627,1.0,0.8644501278772379,0.9883747965589398,0.8531349298612726,0.9603193055878478,0.8260869565217391,0.960241804231574,0.8260869565217391,0.6257459505541347,0.532744323025653,0.9599317988064792,0.8263969619468341,0.9862047585832752,0.8513523986669767,1.0,0.9599317988064792,0.9862047585832752,0.960241804231574,0.9883747965589398,0.960241804231574,0.9574517554057196,0.8644501278772379,0.8263194605905604,0.8512748973107029,0.8260094551654654,0.8531349298612726,0.6257459505541347,0.6056730992792374,0.6248159342788498,0.6257459505541347,0.5325893203131055
assets_missing_or_nonpositive,5297,0,0.0,0,0.0,0,0.0,0,0.0,0.09628091372474985,0.09193883330186899,0.1376250707947895,0.12912969605437039,0.045308665282235226,0.043609590334151405,0.12780819331697188,0.11969039078723806,0.03190485180290731,0.030960921276194073,0.16367755333207476,0.15084009816877478,0.13554842363602038,0.12138946573532187,0.0,0.0,0.0,0.03530300169907495,0.0,0.0,0.0,0.0,0.0,0.0,0.014914102322069096,0.0,0.03190485180290731,0.00641872758164999,0.00641872758164999,0.0,0.006607513686992637
