feature_block,complete_candidates,best_family,best_family_label,best_configuration_id,best_pooled_oof_pr_auc,leader_pooled_oof_roc_auc,leader_runtime_seconds,median_pooled_oof_pr_auc,mean_pooled_oof_pr_auc,median_runtime_seconds,total_runtime_seconds
L,79,xgboost,XGBoost,model_stage_v1__coarse__xgboost__004,0.4027201758980235,0.75461855050546434,11.792745500046294,0.37875704896641987,0.37499563775860723,20.288193623011466,4135.2753002848476
L+D,79,xgboost,XGBoost,model_stage_v1__coarse__xgboost__009,0.40571422642366489,0.75686466996809898,11.674923500977457,0.3809156045631088,0.37857237453720205,25.681560207973234,5375.133135882963
L+D+R,79,xgboost,XGBoost,model_stage_v1__coarse__xgboost__004,0.41167748793642267,0.75948605132209945,12.890178165922407,0.38361945258982827,0.38492642990554166,31.389517500007059,6675.1556168699753
