rank,family,family_label,configuration_id,model_configuration,feature_block,parameters_display,training_seed,status,failure_code,convergence_status,pooled_oof_n,pooled_oof_positive_n,pooled_oof_positive_share,pooled_oof_pr_auc,pooled_oof_roc_auc,fold_pr_auc_mean,fold_pr_auc_sample_sd,runtime_seconds,delta_pr_auc_vs_dummy,delta_pr_auc_vs_fixed_l2,identity
106,pytorch_mlp,MLP (PyTorch),model_stage_v1__coarse__pytorch_mlp__epochs_200__010,MLP (PyTorch) | model_stage_v1__coarse__pytorch_mlp__epochs_200__010,L+D,"{""activation"": ""tanh"", ""batch_size"": 256, ""epochs"": 200, ""hidden_layer_sizes"": [64, 32], ""imbalance"": ""none"", ""learning_rate"": 0.0003, ""weight_decay"": 0.0001}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38284903870904086,0.74364605693237662,0.38931775321605627,0.051856798870959869,69.620461457932834,0.21056588778623045,0.0011941867805437267,pytorch_mlp|L+D|model_stage_v1__coarse__pytorch_mlp__epochs_200__010|seed=20260818
107,pytorch_mlp,MLP (PyTorch),model_stage_v1__coarse__pytorch_mlp__epochs_200__010,MLP (PyTorch) | model_stage_v1__coarse__pytorch_mlp__epochs_200__010,L,"{""activation"": ""tanh"", ""batch_size"": 256, ""epochs"": 200, ""hidden_layer_sizes"": [64, 32], ""imbalance"": ""none"", ""learning_rate"": 0.0003, ""weight_decay"": 0.0001}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38280045317309974,0.74719491879674704,0.38567432046535993,0.069183805820339214,70.143571041931864,0.21051730225028933,0.001145601244602612,pytorch_mlp|L|model_stage_v1__coarse__pytorch_mlp__epochs_200__010|seed=20260818
108,pytorch_mlp,MLP (PyTorch),model_stage_v1__coarse__pytorch_mlp__epochs_200__009,MLP (PyTorch) | model_stage_v1__coarse__pytorch_mlp__epochs_200__009,L+D+R,"{""activation"": ""tanh"", ""batch_size"": 256, ""epochs"": 200, ""hidden_layer_sizes"": [32], ""imbalance"": ""none"", ""learning_rate"": 0.0003, ""weight_decay"": 1e-05}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38278483543408182,0.74409342718381311,0.38844224726925131,0.05742762695697589,47.64044583303621,0.21050168451127141,0.0011299835055846863,pytorch_mlp|L+D+R|model_stage_v1__coarse__pytorch_mlp__epochs_200__009|seed=20260818
109,xgboost,XGBoost,model_stage_v1__coarse__xgboost__011,XGBoost | model_stage_v1__coarse__xgboost__011,L+D,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""imbalance"": ""sqrt"", ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 1.0}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.3826499040117548,0.74630634753279801,0.38831312641411625,0.058819478588683194,12.242621918034274,0.2103667530889444,0.0009950520832576748,xgboost|L+D|model_stage_v1__coarse__xgboost__011|seed=20260818
110,pytorch_mlp,MLP (PyTorch),model_stage_v1__coarse__pytorch_mlp__epochs_200__012,MLP (PyTorch) | model_stage_v1__coarse__pytorch_mlp__epochs_200__012,L,"{""activation"": ""tanh"", ""batch_size"": 64, ""epochs"": 200, ""hidden_layer_sizes"": [64, 32], ""imbalance"": ""sqrt"", ""learning_rate"": 0.001, ""weight_decay"": 0.0001}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38254578714594573,0.74363822343365027,0.38191526783163937,0.06629228690259184,171.26988079305738,0.21026263622313532,0.00089093521744859627,pytorch_mlp|L|model_stage_v1__coarse__pytorch_mlp__epochs_200__012|seed=20260818
111,random_forest,Random Forest,model_stage_v1__coarse__random_forest__009,Random Forest | model_stage_v1__coarse__random_forest__009,L+D,"{""criterion"": ""log_loss"", ""imbalance"": ""sqrt"", ""max_depth"": 24, ""max_features"": 0.5, ""max_samples"": 1.0, ""min_samples_leaf"": 1}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38238174875374142,0.74698944009938728,0.38776247985125051,0.068451103171264474,321.81468695809599,0.21009859783093102,0.00072689682524429422,random_forest|L+D|model_stage_v1__coarse__random_forest__009|seed=20260818
112,xgboost,XGBoost,model_stage_v1__coarse__xgboost__007,XGBoost | model_stage_v1__coarse__xgboost__007,L+D,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""imbalance"": ""none"", ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 0.7}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38229505565466926,0.74867823338707173,0.38833732708426788,0.059174302510194766,12.438487498962786,0.21001190473185885,0.00064020372617212828,xgboost|L+D|model_stage_v1__coarse__xgboost__007|seed=20260818
113,elastic_net_logistic,Regresja logistyczna Elastic Net,model_stage_v1__coarse__elastic_net_logistic__003,Regresja logistyczna Elastic Net | model_stage_v1__coarse__elastic_net_logistic__003,L+D+R,"{""C"": 0.01, ""imbalance"": ""sqrt"", ""l1_ratio"": 0.25}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38182471722566119,0.74013398094847205,0.38274531174576581,0.054005408772640463,11.293499415973201,0.20954156630285078,0.0001698652971640624,elastic_net_logistic|L+D+R|model_stage_v1__coarse__elastic_net_logistic__003|seed=20260818
114,rbf_svm,SVM RBF,model_stage_v1__coarse__rbf_svm__001,SVM RBF | model_stage_v1__coarse__rbf_svm__001,L+D+R,"{""C"": 0.1, ""gamma"": 0.01, ""imbalance"": ""sqrt""}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.3818094828690331,0.73107581656046394,0.38491751260889601,0.06933297125663683,46.79155458410969,0.20952633194622269,0.00015463094053597137,rbf_svm|L+D+R|model_stage_v1__coarse__rbf_svm__001|seed=20260818
115,pytorch_mlp,MLP (PyTorch),model_stage_v1__coarse__pytorch_mlp__epochs_200__001,MLP (PyTorch) | model_stage_v1__coarse__pytorch_mlp__epochs_200__001,L,"{""activation"": ""relu"", ""batch_size"": 256, ""epochs"": 200, ""hidden_layer_sizes"": [64, 32], ""imbalance"": ""none"", ""learning_rate"": 0.0003, ""weight_decay"": 0.001}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38178806012792627,0.74474300500127288,0.38316773157680117,0.065707205554167258,54.614898917905521,0.20950490920511586,0.00013320819942913564,pytorch_mlp|L|model_stage_v1__coarse__pytorch_mlp__epochs_200__001|seed=20260818
