role,family,family_label,configuration_id,feature_block,pooled_oof_pr_auc,pooled_oof_roc_auc,runtime_seconds,delta_pr_auc_vs_dummy,delta_pr_auc_vs_fixed_l2,identity,rank
prowizoryczny lider rodziny: XGBoost; top coarse candidate,xgboost,XGBoost,model_stage_v1__coarse__xgboost__004,L+D+R,0.41167748793642267,0.75948605132209945,12.890178165922407,0.23939433701361226,0.030022636007925541,xgboost|L+D+R|model_stage_v1__coarse__xgboost__004|seed=20260818,1
prowizoryczny lider rodziny: HistGradientBoosting,hist_gradient_boosting,HistGradientBoosting,model_stage_v1__coarse__hist_gradient_boosting__007,L+D+R,0.40781029540397229,0.7587946661506314,15.642676666029729,0.23552714448116188,0.02615544347547516,hist_gradient_boosting|L+D+R|model_stage_v1__coarse__hist_gradient_boosting__007|seed=20260818,4
prowizoryczny lider rodziny: Random Forest,random_forest,Random Forest,model_stage_v1__coarse__random_forest__003,L+D+R,0.40739113699510365,0.75869960248293788,171.73377895896556,0.23510798607229325,0.025736285066606523,random_forest|L+D+R|model_stage_v1__coarse__random_forest__003|seed=20260818,5
prowizoryczny lider rodziny: MLP (PyTorch),pytorch_mlp,MLP (PyTorch),model_stage_v1__coarse__pytorch_mlp__epochs_200__003,L+D,0.39548464852848403,0.74494308920134122,46.518136708938982,0.22320149760567362,0.013829796599986899,pytorch_mlp|L+D|model_stage_v1__coarse__pytorch_mlp__epochs_200__003|seed=20260818,44
prowizoryczny lider rodziny: SVM RBF,rbf_svm,SVM RBF,model_stage_v1__coarse__rbf_svm__004,L+D+R,0.39355767923246121,0.73602899806280153,37.028312749986071,0.2212745283096508,0.011902827303964081,rbf_svm|L+D+R|model_stage_v1__coarse__rbf_svm__004|seed=20260818,54
prowizoryczny lider rodziny: Regresja logistyczna Elastic Net,elastic_net_logistic,Regresja logistyczna Elastic Net,model_stage_v1__coarse__elastic_net_logistic__003,L+D+R,0.38182471722566119,0.74013398094847205,11.293499415973201,0.20954156630285078,0.0001698652971640624,elastic_net_logistic|L+D+R|model_stage_v1__coarse__elastic_net_logistic__003|seed=20260818,113
fixed L2 logistic; prowizoryczny lider rodziny: Regresja logistyczna fixed L2,fixed_l2_logistic,Regresja logistyczna fixed L2,model_stage_v1__coarse__fixed_l2_logistic__002,L+D+R,0.38165485192849713,0.73870392267183238,11.302934542065486,0.20937170100568672,0,fixed_l2_logistic|L+D+R|model_stage_v1__coarse__fixed_l2_logistic__002|seed=20260818,117
Dummy; prowizoryczny lider rodziny: Dummy (prior),dummy_prior,Dummy (prior),model_stage_v1__coarse__dummy_prior__001,BLOCK_AGNOSTIC,0.17228315092281041,0.46256921886072344,11.204956500034314,0,-0.20937170100568672,dummy_prior|BLOCK_AGNOSTIC|model_stage_v1__coarse__dummy_prior__001|seed=20260818,238
