family,family_label,configuration_id,feature_block,fold_id,year,n,positive_n,positive_share,pr_auc,roc_auc,runtime_seconds,status,identity
elastic_net_logistic,Regresja logistyczna Elastic Net,model_stage_v1__coarse__elastic_net_logistic__003,L+D+R,fold_2020,2020,1688,219,0.12973933649289099,0.31836519333034929,0.78706976136967643,1.9292423329898156,COMPLETE,elastic_net_logistic|L+D+R|model_stage_v1__coarse__elastic_net_logistic__003|seed=20260818
rbf_svm,SVM RBF,model_stage_v1__coarse__rbf_svm__004,L+D+R,fold_2015,2015,2241,506,0.22579205711735834,0.51277614215668099,0.77857297445068419,3.1663432919885963,COMPLETE,rbf_svm|L+D+R|model_stage_v1__coarse__rbf_svm__004|seed=20260818
rbf_svm,SVM RBF,model_stage_v1__coarse__rbf_svm__004,L+D+R,fold_2016,2016,2133,351,0.16455696202531644,0.396431376656187,0.76093636587463753,4.3718739579780959,COMPLETE,rbf_svm|L+D+R|model_stage_v1__coarse__rbf_svm__004|seed=20260818
rbf_svm,SVM RBF,model_stage_v1__coarse__rbf_svm__004,L+D+R,fold_2017,2017,1549,257,0.16591349257585539,0.42774446709266378,0.77856850296948577,5.2537008340004832,COMPLETE,rbf_svm|L+D+R|model_stage_v1__coarse__rbf_svm__004|seed=20260818
rbf_svm,SVM RBF,model_stage_v1__coarse__rbf_svm__004,L+D+R,fold_2018,2018,1511,327,0.21641297154202516,0.39793472263454926,0.69569540871146385,6.7940059999818914,COMPLETE,rbf_svm|L+D+R|model_stage_v1__coarse__rbf_svm__004|seed=20260818
rbf_svm,SVM RBF,model_stage_v1__coarse__rbf_svm__004,L+D+R,fold_2019,2019,1638,326,0.19902319902319901,0.3164785808861027,0.65693737842286404,7.8820912500377744,COMPLETE,rbf_svm|L+D+R|model_stage_v1__coarse__rbf_svm__004|seed=20260818
rbf_svm,SVM RBF,model_stage_v1__coarse__rbf_svm__004,L+D+R,fold_2020,2020,1688,219,0.12973933649289099,0.34321272510224554,0.76566234912701148,9.56029741599923,COMPLETE,rbf_svm|L+D+R|model_stage_v1__coarse__rbf_svm__004|seed=20260818
hist_gradient_boosting,HistGradientBoosting,model_stage_v1__coarse__hist_gradient_boosting__007,L+D+R,fold_2015,2015,2241,506,0.22579205711735834,0.50813095701247279,0.79909785741135198,2.3082653330056928,COMPLETE,hist_gradient_boosting|L+D+R|model_stage_v1__coarse__hist_gradient_boosting__007|seed=20260818
hist_gradient_boosting,HistGradientBoosting,model_stage_v1__coarse__hist_gradient_boosting__007,L+D+R,fold_2016,2016,2133,351,0.16455696202531644,0.37933188289848624,0.77464579316431159,2.4265535000013188,COMPLETE,hist_gradient_boosting|L+D+R|model_stage_v1__coarse__hist_gradient_boosting__007|seed=20260818
hist_gradient_boosting,HistGradientBoosting,model_stage_v1__coarse__hist_gradient_boosting__007,L+D+R,fold_2017,2017,1549,257,0.16591349257585539,0.42503275362338505,0.79909138547903291,2.5746477500069886,COMPLETE,hist_gradient_boosting|L+D+R|model_stage_v1__coarse__hist_gradient_boosting__007|seed=20260818
hist_gradient_boosting,HistGradientBoosting,model_stage_v1__coarse__hist_gradient_boosting__007,L+D+R,fold_2018,2018,1511,327,0.21641297154202516,0.43108730137818091,0.73465524010248773,2.687695958011318,COMPLETE,hist_gradient_boosting|L+D+R|model_stage_v1__coarse__hist_gradient_boosting__007|seed=20260818
hist_gradient_boosting,HistGradientBoosting,model_stage_v1__coarse__hist_gradient_boosting__007,L+D+R,fold_2019,2019,1638,326,0.19902319902319901,0.34778101990625021,0.67485363983241053,2.7721467079827562,COMPLETE,hist_gradient_boosting|L+D+R|model_stage_v1__coarse__hist_gradient_boosting__007|seed=20260818
hist_gradient_boosting,HistGradientBoosting,model_stage_v1__coarse__hist_gradient_boosting__007,L+D+R,fold_2020,2020,1688,219,0.12973933649289099,0.39402392299488953,0.80530662613339299,2.8733674170216545,COMPLETE,hist_gradient_boosting|L+D+R|model_stage_v1__coarse__hist_gradient_boosting__007|seed=20260818
xgboost,XGBoost,model_stage_v1__coarse__xgboost__004,L+D+R,fold_2015,2015,2241,506,0.22579205711735834,0.52770946717201517,0.79987470241824332,2.0475209999713115,COMPLETE,xgboost|L+D+R|model_stage_v1__coarse__xgboost__004|seed=20260818
xgboost,XGBoost,model_stage_v1__coarse__xgboost__004,L+D+R,fold_2016,2016,2133,351,0.16455696202531644,0.39083672140450593,0.77882816771705654,2.0642156249959953,COMPLETE,xgboost|L+D+R|model_stage_v1__coarse__xgboost__004|seed=20260818
xgboost,XGBoost,model_stage_v1__coarse__xgboost__004,L+D+R,fold_2017,2017,1549,257,0.16591349257585539,0.4398253520659931,0.8043948994711545,2.1123844159883447,COMPLETE,xgboost|L+D+R|model_stage_v1__coarse__xgboost__004|seed=20260818
xgboost,XGBoost,model_stage_v1__coarse__xgboost__004,L+D+R,fold_2018,2018,1511,327,0.21641297154202516,0.43327152859221074,0.73146024464831794,2.172964375000447,COMPLETE,xgboost|L+D+R|model_stage_v1__coarse__xgboost__004|seed=20260818
xgboost,XGBoost,model_stage_v1__coarse__xgboost__004,L+D+R,fold_2019,2019,1638,326,0.19902319902319901,0.32969517037145701,0.67292477180906785,2.22296629199991,COMPLETE,xgboost|L+D+R|model_stage_v1__coarse__xgboost__004|seed=20260818
xgboost,XGBoost,model_stage_v1__coarse__xgboost__004,L+D+R,fold_2020,2020,1688,219,0.12973933649289099,0.36080667976196701,0.79467130436944944,2.2701264579663984,COMPLETE,xgboost|L+D+R|model_stage_v1__coarse__xgboost__004|seed=20260818
random_forest,Random Forest,model_stage_v1__coarse__random_forest__003,L+D+R,fold_2015,2015,2241,506,0.22579205711735834,0.53081501714215673,0.79758517387887151,16.113938583992422,COMPLETE,random_forest|L+D+R|model_stage_v1__coarse__random_forest__003|seed=20260818
random_forest,Random Forest,model_stage_v1__coarse__random_forest__003,L+D+R,fold_2016,2016,2133,351,0.16455696202531644,0.39298858335705089,0.78382431468851221,21.156958792009391,COMPLETE,random_forest|L+D+R|model_stage_v1__coarse__random_forest__003|seed=20260818
random_forest,Random Forest,model_stage_v1__coarse__random_forest__003,L+D+R,fold_2017,2017,1549,257,0.16591349257585539,0.43807041737696795,0.80485718760164304,26.84961591695901,COMPLETE,random_forest|L+D+R|model_stage_v1__coarse__random_forest__003|seed=20260818
random_forest,Random Forest,model_stage_v1__coarse__random_forest__003,L+D+R,fold_2018,2018,1511,327,0.21641297154202516,0.43106539460032756,0.73475338870981077,32.050220291013829,COMPLETE,random_forest|L+D+R|model_stage_v1__coarse__random_forest__003|seed=20260818
random_forest,Random Forest,model_stage_v1__coarse__random_forest__003,L+D+R,fold_2019,2019,1638,326,0.19902319902319901,0.31870603837129774,0.66757303980248395,35.959097833023407,COMPLETE,random_forest|L+D+R|model_stage_v1__coarse__random_forest__003|seed=20260818
random_forest,Random Forest,model_stage_v1__coarse__random_forest__003,L+D+R,fold_2020,2020,1688,219,0.12973933649289099,0.35770875309464367,0.78915859264992494,39.6039475419675,COMPLETE,random_forest|L+D+R|model_stage_v1__coarse__random_forest__003|seed=20260818
pytorch_mlp,MLP (PyTorch),model_stage_v1__coarse__pytorch_mlp__epochs_200__003,L+D,fold_2015,2015,2241,506,0.22579205711735834,0.46982032795915701,0.76819833468123155,5.5228263749741018,COMPLETE,pytorch_mlp|L+D|model_stage_v1__coarse__pytorch_mlp__epochs_200__003|seed=20260818
pytorch_mlp,MLP (PyTorch),model_stage_v1__coarse__pytorch_mlp__epochs_200__003,L+D,fold_2016,2016,2133,351,0.16455696202531644,0.41063231883173412,0.77895447031249498,8.2818324170075357,COMPLETE,pytorch_mlp|L+D|model_stage_v1__coarse__pytorch_mlp__epochs_200__003|seed=20260818
pytorch_mlp,MLP (PyTorch),model_stage_v1__coarse__pytorch_mlp__epochs_200__003,L+D,fold_2017,2017,1549,257,0.16591349257585539,0.41504413275372121,0.78790612087554668,7.1418790419702418,COMPLETE,pytorch_mlp|L+D|model_stage_v1__coarse__pytorch_mlp__epochs_200__003|seed=20260818
pytorch_mlp,MLP (PyTorch),model_stage_v1__coarse__pytorch_mlp__epochs_200__003,L+D,fold_2018,2018,1511,327,0.21641297154202516,0.40837699303509556,0.71691617075791392,7.8556114580132999,COMPLETE,pytorch_mlp|L+D|model_stage_v1__coarse__pytorch_mlp__epochs_200__003|seed=20260818
pytorch_mlp,MLP (PyTorch),model_stage_v1__coarse__pytorch_mlp__epochs_200__003,L+D,fold_2019,2019,1638,326,0.19902319902319901,0.32644412860810923,0.65307613534340858,8.5073575419955887,COMPLETE,pytorch_mlp|L+D|model_stage_v1__coarse__pytorch_mlp__epochs_200__003|seed=20260818
pytorch_mlp,MLP (PyTorch),model_stage_v1__coarse__pytorch_mlp__epochs_200__003,L+D,fold_2020,2020,1688,219,0.12973933649289099,0.37135250431474898,0.79836095128857898,9.2086298749782145,COMPLETE,pytorch_mlp|L+D|model_stage_v1__coarse__pytorch_mlp__epochs_200__003|seed=20260818
