threshold_pct,threshold,minimum_components,achieved_cumulative_ratio,achieved_cumulative_pct
80.0,0.8,7,0.8266282040932155,82.66282040932154
90.0,0.9,9,0.9012964886812556,90.12964886812556
95.0,0.95,11,0.9549423927982563,95.49423927982563
