,wartosc
min(feature_year),2011
max(feature_year),2020
N finalnej próby,19671
unikalne klucze company-year,19671
membership SHA-256,864af3d9aac6ea239d993ea48cd819c2185f3249957d8b81f6d8d4c3c9f3d680
