,wartosc
komponenty wspólne PCA-4 i PCA-6,PC1–PC4
komponenty dodatkowe PCA-6,PC5–PC6
dodatkowa wariancja PC5+PC6,0.1124695807783739
dodatkowa wariancja PC5+PC6 [%],11.246958077837391
cumulative variance PCA-4,0.6693777879609458
cumulative variance PCA-6,0.7818473687393197
