feature,median,winsor_lower,winsor_upper,scaling_center,scaling_scale,train_missing_n,train_missing_rate,dominant_share_after_imputation,constant_after_imputation,near_constant_after_imputation
log_assets_t,19.75354370883404,11.23908981738667,24.949176457444324,19.358152095117884,2.9052737738901047,5,0.0002541812820903869,0.010014742514361243,False,False
roa_t,0.0183158711680248,-15.837120133500454,0.37489991923895827,-0.4484715520990836,1.9875494190000391,410,0.020842865131411724,0.0208937013878298,False,False
ocf_to_assets_t,0.06679005745475565,-4.6909136645605365,0.36480305568263305,-0.1108918891676205,0.6694670939576159,295,0.014996695643332825,0.014996695643332825,False,False
current_ratio_t,1.9219122001511733,0.020012004882151702,17.368757196160185,2.7071814539253674,2.7504153489517886,75,0.003812719231355803,0.009963906257943165,False,False
liabilities_to_assets_t,0.5378798992999114,0.05865538544245312,22.38371443771982,1.0323846355588946,2.665609999131812,34,0.0017284327182146306,0.010014742514361243,False,False
working_capital_to_assets_t,0.20579440766639312,-18.210745149614166,0.8736648447890213,-0.1515690702001698,2.2347756258008737,77,0.003914391744191958,0.009963906257943165,False,False
accruals_to_assets_t,-0.0610271046338895,-11.25395223540662,0.401643213572544,-0.3250697556366864,1.365544844751403,442,0.0224696253367902,0.022520461593208276,False,False
asset_growth_1y,0.0468583487095102,-0.6929681127285563,9.021819264429054,0.27761490880273376,1.1232242233155485,2116,0.10756951858065172,0.1076203548370698,False,False
delta_roa_1y,-0.0014315259026715,-8.355067100119284,9.773577068541625,0.018365476900796516,1.4423049029766881,2564,0.13034416145595037,0.13039499771236845,False,False
delta_ocf_to_assets_1y,-0.00028233065391450004,-2.279346276620362,2.869764996922209,0.011038416814179114,0.4543257824877619,2471,0.12561638960906918,0.12561638960906918,False,False
current_ratio_change_1y,-0.011936849774941801,-0.8903580614390594,11.233362183828541,0.22646211494062438,1.3686402955309673,2197,0.11168725535051599,0.11168725535051599,False,False
delta_liabilities_to_assets_1y,0.0056119183867526,-8.83183255015246,8.42746418083736,0.013546773265603062,1.3643153015491274,2158,0.10970464135021098,0.10975547760662904,False,False
log1p_revenues_t,19.6586519981592,10.25659771019218,24.685693598266006,19.13813608035387,2.9731458695460016,1494,0.0759493670886076,0.07600020334502568,False,False
profit_margin_t,0.0185383708613796,-126.71383985254965,0.49195036535562786,-2.74354220618377,14.807858289766523,1634,0.08306644298713843,0.08311727924355651,False,False
ocf_margin_t,0.0670493494832272,-65.80343602448465,0.6021795433941228,-1.3145053774238722,7.583486315645619,1516,0.0770677647298053,0.07711860098622338,False,False
asset_turnover_t,0.8629588655981353,0.008658182418746913,5.407681629541679,1.0727131287891027,0.8828777223579555,1499,0.07620354837069798,0.07620354837069798,False,False
revenue_growth_1y,0.06210596762333505,-0.7308743224338495,9.670193991764457,0.2503742327507891,1.1061378048282526,3779,0.1921102130039144,0.1921102130039144,False,False
