report_role,model_label,family,stage,feature_block,configuration_id,record_type,training_seed,stability_status,n,positive_n,positive_share,pooled_oof_pr_auc,pooled_oof_roc_auc,fold_pr_auc_mean,fold_pr_auc_sample_sd,fold_pr_auc_min,fold_pr_auc_max,runtime_seconds,fold_executions,attempts,completed_attempts,retries_or_interruptions,runtime_minutes,runtime_hours,software_environment_role,metric_source,runtime_source
PRIMARY_FAMILY_REPRESENTATIVE,MLP,pytorch_mlp,coarse,L+D+R,model_stage_v1__coarse__pytorch_mlp__epochs_200__003,SEED,20260818,DESCRIPTIVE_ONLY_N3,10760,1986,0.1845724907063197,0.3928559732979086,0.7455719211595369,0.39789464059189233,0.0568556017103155,0.3297922298714675,0.49751781417820684,44.91213687608251,6,6,6,0,0.7485356146013752,0.012475593576689587,qnn_mlp,data/model_runs/classical_mlp_coarse_v1/coarse_results/pytorch_mlp/result_manifest.json,data/model_runs/classical_mlp_coarse_v1/coarse_results/pytorch_mlp/result_manifest.json
PRIMARY_FAMILY_REPRESENTATIVE,MLP,pytorch_mlp,coarse,L+D+R,model_stage_v1__coarse__pytorch_mlp__epochs_200__003,SEED,20260819,DESCRIPTIVE_ONLY_N3,10760,1986,0.1845724907063197,0.3959173048656268,0.7451702606644046,0.39833178526540536,0.05830223948597699,0.33031097878040505,0.5013682962396522,26.85944545699749,6,6,6,0,0.4476574242832915,0.007460957071388192,qnn_mlp,data/model_runs/post_coarse_v1_3_0/candidate_results/coarse/pytorch_mlp/model_stage_v1__coarse__pytorch_mlp__epochs_200__003/L_D_R/seed_20260819/candidate_manifest.json,data/model_runs/post_coarse_v1_3_0/candidate_results/coarse/pytorch_mlp/model_stage_v1__coarse__pytorch_mlp__epochs_200__003/L_D_R/seed_20260819/candidate_manifest.json
PRIMARY_FAMILY_REPRESENTATIVE,MLP,pytorch_mlp,coarse,L+D+R,model_stage_v1__coarse__pytorch_mlp__epochs_200__003,SEED,20260820,DESCRIPTIVE_ONLY_N3,10760,1986,0.1845724907063197,0.39472379865718804,0.7471696105700929,0.3973165780848899,0.05746073510183102,0.32215675496268525,0.4932493764472479,26.703275126055814,6,6,6,0,0.44505458543426357,0.007417576423904393,qnn_mlp,data/model_runs/post_coarse_v1_3_0/candidate_results/coarse/pytorch_mlp/model_stage_v1__coarse__pytorch_mlp__epochs_200__003/L_D_R/seed_20260820/candidate_manifest.json,data/model_runs/post_coarse_v1_3_0/candidate_results/coarse/pytorch_mlp/model_stage_v1__coarse__pytorch_mlp__epochs_200__003/L_D_R/seed_20260820/candidate_manifest.json
PRIMARY_FAMILY_REPRESENTATIVE,MLP,pytorch_mlp,coarse,L+D+R,model_stage_v1__coarse__pytorch_mlp__epochs_200__003,SCORE_AVERAGED_ENSEMBLE,AVERAGED_20260818_20260819_20260820,DESCRIPTIVE_ONLY_N3,10760,1986,0.1845724907063197,0.3970885127758261,0.7472156359618767,0.4002888223373466,0.05741109743130744,0.3297228609110444,0.49906825667392335,,,,,,,,qnn_mlp,data/model_runs/post_coarse_v1_3_0/seed_averaged_oof/pytorch_mlp/model_stage_v1__coarse__pytorch_mlp__epochs_200__003/L_D_R/oof_predictions.json,NOT_APPLICABLE
PRIMARY_FAMILY_REPRESENTATIVE,QNN,qnn,qnn_q2,L+D+R,model_stage_v1__qnn_q2__t0,SEED,20260818,DESCRIPTIVE_ONLY_N3,10760,1986,0.1845724907063197,0.3837976698667534,0.7389300324519184,0.38412877421707153,0.06804847266292344,0.2944435430969148,0.4960673373443638,6152.41422741604,6,6,6,0,102.54023712360068,1.7090039520600113,qnn_mlp,data/model_runs/post_coarse_v1_3_0/candidate_results/qnn_q2/qnn/model_stage_v1__qnn_q2__t0/L_D_R/seed_20260818/candidate_manifest.json,data/model_runs/post_coarse_v1_3_0/candidate_results/qnn_q1/qnn/model_stage_v1__qnn_q1__rot_cnot_ring/L_D_R/seed_20260818/candidate_manifest.json
PRIMARY_FAMILY_REPRESENTATIVE,QNN,qnn,qnn_q2,L+D+R,model_stage_v1__qnn_q2__t0,SEED,20260819,DESCRIPTIVE_ONLY_N3,10760,1986,0.1845724907063197,0.38106187456223,0.7410608875761514,0.38618227441458924,0.0614215484456433,0.30967077116486164,0.4833336917411319,6560.381033124984,6,6,6,0,109.3396838854164,1.82232806475694,qnn_mlp,data/model_runs/post_coarse_v1_3_0/candidate_results/qnn_q2/qnn/model_stage_v1__qnn_q2__t0/L_D_R/seed_20260819/candidate_manifest.json,data/model_runs/post_coarse_v1_3_0/candidate_results/qnn_q2/qnn/model_stage_v1__qnn_q2__t0/L_D_R/seed_20260819/candidate_manifest.json
PRIMARY_FAMILY_REPRESENTATIVE,QNN,qnn,qnn_q2,L+D+R,model_stage_v1__qnn_q2__t0,SEED,20260820,DESCRIPTIVE_ONLY_N3,10760,1986,0.1845724907063197,0.3759010616000902,0.7360827708709083,0.3774818784597999,0.06699314097764367,0.30546842005630037,0.4864238969448258,6282.415912835044,6,6,6,0,104.70693188058407,1.7451155313430677,qnn_mlp,data/model_runs/post_coarse_v1_3_0/candidate_results/qnn_q2/qnn/model_stage_v1__qnn_q2__t0/L_D_R/seed_20260820/candidate_manifest.json,data/model_runs/post_coarse_v1_3_0/candidate_results/qnn_q2/qnn/model_stage_v1__qnn_q2__t0/L_D_R/seed_20260820/candidate_manifest.json
PRIMARY_FAMILY_REPRESENTATIVE,QNN,qnn,qnn_q2,L+D+R,model_stage_v1__qnn_q2__t0,SCORE_AVERAGED_ENSEMBLE,AVERAGED_20260818_20260819_20260820,DESCRIPTIVE_ONLY_N3,10760,1986,0.1845724907063197,0.38394764812793286,0.7405838475896125,0.38547716529437376,0.06846274629548799,0.3023622206322225,0.4982352866262476,,,,,,,,qnn_mlp,data/model_runs/post_coarse_v1_3_0/seed_averaged_oof/qnn/model_stage_v1__qnn_q2__t0/L_D_R/oof_predictions.json,NOT_APPLICABLE
PRIMARY_FAMILY_REPRESENTATIVE,Random Forest,random_forest,coarse,L+D+R,model_stage_v1__coarse__random_forest__003,SEED,20260818,DESCRIPTIVE_ONLY_N3,10760,1986,0.1845724907063197,0.40739113699510365,0.7586996024829379,0.4115590339904074,0.07371802256643181,0.31870603837129774,0.5308150171421567,171.73377895896556,6,6,6,0,2.8622296493160926,0.047703827488601545,classical,data/model_runs/classical_mlp_coarse_v1/coarse_results/random_forest/result_manifest.json,data/model_runs/classical_mlp_coarse_v1/coarse_results/random_forest/result_manifest.json
PRIMARY_FAMILY_REPRESENTATIVE,Random Forest,random_forest,coarse,L+D+R,model_stage_v1__coarse__random_forest__003,SEED,20260819,DESCRIPTIVE_ONLY_N3,10760,1986,0.1845724907063197,0.406102346800212,0.7588183388116174,0.41063294322543276,0.0736383639003084,0.31721412793436793,0.5297644405106311,100.46507808484603,6,6,6,0,1.6744179680807671,0.027906966134679453,classical,data/model_runs/post_coarse_v1_3_0/candidate_results/coarse/random_forest/model_stage_v1__coarse__random_forest__003/L_D_R/seed_20260819/candidate_manifest.json,data/model_runs/post_coarse_v1_3_0/candidate_results/coarse/random_forest/model_stage_v1__coarse__random_forest__003/L_D_R/seed_20260819/candidate_manifest.json
PRIMARY_FAMILY_REPRESENTATIVE,Random Forest,random_forest,coarse,L+D+R,model_stage_v1__coarse__random_forest__003,SEED,20260820,DESCRIPTIVE_ONLY_N3,10760,1986,0.1845724907063197,0.4056807268881428,0.7586730317143644,0.4104985498873666,0.07354946710317903,0.3171661208016152,0.5286987066196132,102.53304920799565,6,6,6,0,1.7088841534665942,0.028481402557776567,classical,data/model_runs/post_coarse_v1_3_0/candidate_results/coarse/random_forest/model_stage_v1__coarse__random_forest__003/L_D_R/seed_20260820/candidate_manifest.json,data/model_runs/post_coarse_v1_3_0/candidate_results/coarse/random_forest/model_stage_v1__coarse__random_forest__003/L_D_R/seed_20260820/candidate_manifest.json
PRIMARY_FAMILY_REPRESENTATIVE,Random Forest,random_forest,coarse,L+D+R,model_stage_v1__coarse__random_forest__003,SCORE_AVERAGED_ENSEMBLE,AVERAGED_20260818_20260819_20260820,DESCRIPTIVE_ONLY_N3,10760,1986,0.1845724907063197,0.4066369584050779,0.7587838197677795,0.41129915924394367,0.0734871080711478,0.3181116792405922,0.5298644402836689,,,,,,,,classical,data/model_runs/post_coarse_v1_3_0/seed_averaged_oof/random_forest/model_stage_v1__coarse__random_forest__003/L_D_R/oof_predictions.json,NOT_APPLICABLE
PRIMARY_FAMILY_REPRESENTATIVE,SVM RBF,rbf_svm,coarse,L+D+R,model_stage_v1__coarse__rbf_svm__004,SEED,20260818,NOT_APPLICABLE_DETERMINISTIC_SINGLE_RUN,10760,1986,0.1845724907063197,0.3935576792324612,0.7360289980628015,0.3990963357547383,0.0688490181830787,0.3164785808861027,0.512776142156681,37.02831274998607,6,6,6,0,0.6171385458331012,0.010285642430551686,classical,data/model_runs/classical_mlp_coarse_v1/coarse_results/rbf_svm/result_manifest.json,data/model_runs/classical_mlp_coarse_v1/coarse_results/rbf_svm/result_manifest.json
PRIMARY_FAMILY_REPRESENTATIVE,XGBoost,xgboost,coarse,L+D+R,model_stage_v1__coarse__xgboost__004,SEED,20260818,DESCRIPTIVE_ONLY_N3,10760,1986,0.1845724907063197,0.41167748793642267,0.7594860513220995,0.41369081989469153,0.06991563642858076,0.329695170371457,0.5277094671720152,12.890178165922407,6,6,6,0,0.21483630276537344,0.0035806050460895577,classical,data/model_runs/classical_mlp_coarse_v1/coarse_results/xgboost/result_manifest.json,data/model_runs/classical_mlp_coarse_v1/coarse_results/xgboost/result_manifest.json
PRIMARY_FAMILY_REPRESENTATIVE,XGBoost,xgboost,coarse,L+D+R,model_stage_v1__coarse__xgboost__004,SEED,20260819,DESCRIPTIVE_ONLY_N3,10760,1986,0.1845724907063197,0.41317036611634056,0.7595927648084115,0.41507865180428993,0.07030464173940909,0.32987888623229233,0.5316868730957697,7.921811708831228,6,6,6,0,0.13203019514718714,0.002200503252453119,classical,data/model_runs/post_coarse_v1_3_0/candidate_results/coarse/xgboost/model_stage_v1__coarse__xgboost__004/L_D_R/seed_20260819/candidate_manifest.json,data/model_runs/post_coarse_v1_3_0/candidate_results/coarse/xgboost/model_stage_v1__coarse__xgboost__004/L_D_R/seed_20260819/candidate_manifest.json
PRIMARY_FAMILY_REPRESENTATIVE,XGBoost,xgboost,coarse,L+D+R,model_stage_v1__coarse__xgboost__004,SEED,20260820,DESCRIPTIVE_ONLY_N3,10760,1986,0.1845724907063197,0.4142413382247647,0.7603816239548736,0.4163174642156735,0.06929990337152478,0.33367492312377156,0.5309463945136864,7.874628623947501,6,6,6,0,0.13124381039912503,0.002187396839985417,classical,data/model_runs/post_coarse_v1_3_0/candidate_results/coarse/xgboost/model_stage_v1__coarse__xgboost__004/L_D_R/seed_20260820/candidate_manifest.json,data/model_runs/post_coarse_v1_3_0/candidate_results/coarse/xgboost/model_stage_v1__coarse__xgboost__004/L_D_R/seed_20260820/candidate_manifest.json
PRIMARY_FAMILY_REPRESENTATIVE,XGBoost,xgboost,coarse,L+D+R,model_stage_v1__coarse__xgboost__004,SCORE_AVERAGED_ENSEMBLE,AVERAGED_20260818_20260819_20260820,DESCRIPTIVE_ONLY_N3,10760,1986,0.1845724907063197,0.41308893399384633,0.7598701797010347,0.41501181601275006,0.0696503046881291,0.331439540119456,0.5303199558130671,,,,,,,,classical,data/model_runs/post_coarse_v1_3_0/seed_averaged_oof/xgboost/model_stage_v1__coarse__xgboost__004/L_D_R/oof_predictions.json,NOT_APPLICABLE
SECONDARY_TITLE_ALIGNED_NEURAL_COMPARATOR,MLP (title-aligned comparator),pytorch_mlp,coarse,L+D,model_stage_v1__coarse__pytorch_mlp__epochs_200__003,SEED,20260818,DESCRIPTIVE_ONLY_N3,10760,1986,0.1845724907063197,0.39548464852848403,0.7449430892013412,0.4002784009170943,0.047989800011082634,0.32644412860810923,0.469820327959157,46.51813670893898,6,6,6,0,0.7753022784823164,0.012921704641371939,qnn_mlp,data/model_runs/classical_mlp_coarse_v1/coarse_results/pytorch_mlp/result_manifest.json,data/model_runs/classical_mlp_coarse_v1/coarse_results/pytorch_mlp/result_manifest.json
SECONDARY_TITLE_ALIGNED_NEURAL_COMPARATOR,MLP (title-aligned comparator),pytorch_mlp,coarse,L+D,model_stage_v1__coarse__pytorch_mlp__epochs_200__003,SEED,20260819,DESCRIPTIVE_ONLY_N3,10760,1986,0.1845724907063197,0.39330811984126063,0.7466207778589631,0.3980732613448464,0.05506940536751522,0.31461334437346694,0.47908013600559046,25.906784665887244,6,6,6,0,0.43177974443145406,0.007196329073857568,qnn_mlp,data/model_runs/post_coarse_v1_3_0/candidate_results/coarse/pytorch_mlp/model_stage_v1__coarse__pytorch_mlp__epochs_200__003/L_D/seed_20260819/candidate_manifest.json,data/model_runs/post_coarse_v1_3_0/candidate_results/coarse/pytorch_mlp/model_stage_v1__coarse__pytorch_mlp__epochs_200__003/L_D/seed_20260819/candidate_manifest.json
SECONDARY_TITLE_ALIGNED_NEURAL_COMPARATOR,MLP (title-aligned comparator),pytorch_mlp,coarse,L+D,model_stage_v1__coarse__pytorch_mlp__epochs_200__003,SEED,20260820,DESCRIPTIVE_ONLY_N3,10760,1986,0.1845724907063197,0.3964712039125214,0.7460069529331258,0.3986801113294736,0.049344996924418946,0.3340438122419964,0.47624009649455634,26.04315662314184,6,6,6,0,0.4340526103856973,0.0072342101730949555,qnn_mlp,data/model_runs/post_coarse_v1_3_0/candidate_results/coarse/pytorch_mlp/model_stage_v1__coarse__pytorch_mlp__epochs_200__003/L_D/seed_20260820/candidate_manifest.json,data/model_runs/post_coarse_v1_3_0/candidate_results/coarse/pytorch_mlp/model_stage_v1__coarse__pytorch_mlp__epochs_200__003/L_D/seed_20260820/candidate_manifest.json
SECONDARY_TITLE_ALIGNED_NEURAL_COMPARATOR,MLP (title-aligned comparator),pytorch_mlp,coarse,L+D,model_stage_v1__coarse__pytorch_mlp__epochs_200__003,SCORE_AVERAGED_ENSEMBLE,AVERAGED_20260818_20260819_20260820,DESCRIPTIVE_ONLY_N3,10760,1986,0.1845724907063197,0.39626323334082664,0.7464090151461414,0.40042980115574167,0.050953430546842676,0.3238007357765663,0.47574531514707125,,,,,,,,qnn_mlp,data/model_runs/post_coarse_v1_3_0/seed_averaged_oof/pytorch_mlp/model_stage_v1__coarse__pytorch_mlp__epochs_200__003/L_D/oof_predictions.json,NOT_APPLICABLE
