software_environment_role,python_version,numpy_version,pandas_version,scikit_learn_version,xgboost_version,torch_version,pennylane_version,pennylane_lightning_version,host_platform_observed_by_qnn_smoke,host_architecture_observed_by_qnn_smoke,logical_cpu_count_observed_by_qnn_smoke,ram_bytes_observed_by_qnn_smoke,runtime_interpretation,qnn_device,qnn_execution,qnn_shots,qnn_interface,qnn_differentiation,qnn_dtype,qnn_ansatz,qnn_qubits,qnn_layers,qnn_trainable_parameters
classical,3.13.13,2.4.4,3.0.3,1.8.0,3.4.1,,,,macOS-15.5-arm64-arm-64bit,arm64,8,8589934592,Recorded historical environment; report generation does not rerun benchmarks.,,,,,,,,,,
qnn_mlp,3.12.2,2.4.4,3.0.3,1.8.0,,2.13.0,0.45.1,0.45.0,macOS-15.5-arm64-arm-64bit,arm64,8,8589934592,Recorded historical environment; report generation does not rerun benchmarks.,,,,,,,,,,
qnn_final_model_details,3.12.2,,,,,,,,macOS-15.5-arm64-arm-64bit,arm64,8,8589934592,Simulator runtime only; no quantum-hardware or quantum-advantage claim is permitted.,lightning.qubit,analytic,,torch,adjoint,float64,ROT_CNOT_RING,4,2,29
