report_role,model_label,family,stage,feature_block,configuration_id,seed_protocol,seed_count,stability_status,pooled_oof_pr_auc_seed_mean,pooled_oof_pr_auc_seed_sample_sd,pooled_oof_pr_auc_seed_min,pooled_oof_pr_auc_seed_max,pooled_oof_pr_auc_seed_range,pooled_oof_pr_auc_score_averaged_ensemble,pooled_oof_roc_auc_seed_mean,pooled_oof_roc_auc_seed_sample_sd,pooled_oof_roc_auc_seed_min,pooled_oof_roc_auc_seed_max,pooled_oof_roc_auc_seed_range,pooled_oof_roc_auc_score_averaged_ensemble,ensemble_fold_pr_auc_mean,ensemble_fold_pr_auc_sample_sd,interpretation
PRIMARY_FAMILY_REPRESENTATIVE,XGBoost,xgboost,coarse,L+D+R,model_stage_v1__coarse__xgboost__004,THREE_SEEDS_PLUS_RAW_SCORE_AVERAGE,3,DESCRIPTIVE_ONLY_N3,0.413029730759176,0.0012876978694637616,0.41167748793642267,0.4142413382247647,0.002563850288342051,0.41308893399384633,0.7598201466951283,0.0004891722364859261,0.7594860513220995,0.7603816239548736,0.0008955726327741775,0.7598701797010347,0.41501181601275006,0.0696503046881291,Descriptive dispersion only; n=3 seeds is not an inferential interval.
PRIMARY_FAMILY_REPRESENTATIVE,HistGradientBoosting,hist_gradient_boosting,coarse,L+D+R,model_stage_v1__coarse__hist_gradient_boosting__007,THREE_SEEDS_PLUS_RAW_SCORE_AVERAGE,3,DESCRIPTIVE_ONLY_N3,0.40781029540397223,6.798699777552591e-17,0.4078102954039723,0.4078102954039723,0.0,0.4078102954039723,0.7587946661506314,0.0,0.7587946661506314,0.7587946661506314,0.0,0.7587946661506314,0.4142313063022775,0.05524470815180232,Descriptive dispersion only; n=3 seeds is not an inferential interval.
PRIMARY_FAMILY_REPRESENTATIVE,Random Forest,random_forest,coarse,L+D+R,model_stage_v1__coarse__random_forest__003,THREE_SEEDS_PLUS_RAW_SCORE_AVERAGE,3,DESCRIPTIVE_ONLY_N3,0.40639140356115283,0.0008910898056776731,0.4056807268881428,0.40739113699510365,0.0017104101069608801,0.4066369584050779,0.7587303243363066,7.737190920372837e-05,0.7586730317143644,0.7588183388116174,0.00014530709725302238,0.7587838197677795,0.41129915924394367,0.0734871080711478,Descriptive dispersion only; n=3 seeds is not an inferential interval.
PRIMARY_FAMILY_REPRESENTATIVE,MLP,pytorch_mlp,coarse,L+D+R,model_stage_v1__coarse__pytorch_mlp__epochs_200__003,THREE_SEEDS_PLUS_RAW_SCORE_AVERAGE,3,DESCRIPTIVE_ONLY_N3,0.39449902560690786,0.001542993822079728,0.3928559732979086,0.3959173048656268,0.0030613315677182062,0.3970885127758261,0.7459705974646781,0.0010576186025948863,0.7451702606644046,0.7471696105700929,0.0019993499056882857,0.7472156359618767,0.4002888223373466,0.05741109743130744,Descriptive dispersion only; n=3 seeds is not an inferential interval.
PRIMARY_FAMILY_REPRESENTATIVE,SVM RBF,rbf_svm,coarse,L+D+R,model_stage_v1__coarse__rbf_svm__004,SINGLE_DETERMINISTIC_RUN,1,NOT_APPLICABLE_DETERMINISTIC_SINGLE_RUN,0.3935576792324612,,0.3935576792324612,0.3935576792324612,0.0,0.3935576792324612,0.7360289980628015,,0.7360289980628015,0.7360289980628015,0.0,0.7360289980628015,0.3990963357547383,0.0688490181830787,Seed dispersion is not applicable to the frozen deterministic single run.
PRIMARY_FAMILY_REPRESENTATIVE,QNN,qnn,qnn_q2,L+D+R,model_stage_v1__qnn_q2__t0,THREE_SEEDS_PLUS_RAW_SCORE_AVERAGE,3,DESCRIPTIVE_ONLY_N3,0.38025353534302453,0.004009883383499171,0.3759010616000902,0.3837976698667534,0.007896608266663219,0.38394764812793286,0.7386912302996592,0.0024976351482347567,0.7360827708709083,0.7410608875761514,0.004978116705243063,0.7405838475896125,0.38547716529437376,0.06846274629548799,Descriptive dispersion only; n=3 seeds is not an inferential interval.
PRIMARY_FAMILY_REPRESENTATIVE,Logistic Elastic Net,elastic_net_logistic,coarse,L+D+R,model_stage_v1__coarse__elastic_net_logistic__003,THREE_SEEDS_PLUS_RAW_SCORE_AVERAGE,3,DESCRIPTIVE_ONLY_N3,0.3818250462394233,5.037961237425015e-07,0.3818247172256612,0.3818256262255368,9.089998755928974e-07,0.38182578577644466,0.7401340957250101,1.1477653805158639e-07,0.740133980948472,0.7401342105015482,2.2955307610317277e-07,0.7401343252780863,0.38274531730600697,0.05400515592687906,Descriptive dispersion only; n=3 seeds is not an inferential interval.
PRIMARY_FAMILY_REPRESENTATIVE,Logistic fixed L2,fixed_l2_logistic,coarse,L+D+R,model_stage_v1__coarse__fixed_l2_logistic__002,SINGLE_DETERMINISTIC_RUN,1,NOT_APPLICABLE_DETERMINISTIC_SINGLE_RUN,0.38165485192849713,,0.38165485192849713,0.38165485192849713,0.0,0.38165485192849713,0.7387039226718324,,0.7387039226718324,0.7387039226718324,0.0,0.7387039226718324,0.3825843800394651,0.05195766128627831,Seed dispersion is not applicable to the frozen deterministic single run.
PRIMARY_FAMILY_REPRESENTATIVE,Dummy prior,dummy_prior,coarse,BLOCK_AGNOSTIC,model_stage_v1__coarse__dummy_prior__001,SINGLE_DETERMINISTIC_RUN,1,NOT_APPLICABLE_DETERMINISTIC_SINGLE_RUN,0.1722831509228104,,0.1722831509228104,0.1722831509228104,0.0,0.1722831509228104,0.46256921886072344,,0.46256921886072344,0.46256921886072344,0.0,0.46256921886072344,0.1835730031294409,0.036527119771290084,Seed dispersion is not applicable to the frozen deterministic single run.
SECONDARY_TITLE_ALIGNED_NEURAL_COMPARATOR,MLP (title-aligned comparator),pytorch_mlp,coarse,L+D,model_stage_v1__coarse__pytorch_mlp__epochs_200__003,THREE_SEEDS_PLUS_RAW_SCORE_AVERAGE,3,DESCRIPTIVE_ONLY_N3,0.39508799076075535,0.0016184184406359524,0.39330811984126063,0.3964712039125214,0.0031630840712607577,0.39626323334082664,0.74585693999781,0.0008488449319809805,0.7449430892013412,0.7466207778589631,0.0016776886576218564,0.7464090151461414,0.40042980115574167,0.050953430546842676,Descriptive dispersion only; n=3 seeds is not an inferential interval.
