program_group,stage,row_type,candidate_configurations,fold_executions,attempts,completed_attempts,interrupted_or_retry_attempts,worker_runtime_seconds,worker_runtime_hours,source,comparability_note
CLASSICAL_AND_MLP,COARSE_SEARCH_SEED_20260818,ADDITIVE_COMPONENT,247,1482,1482,1482,0,16610.131997746823,4.613925554929673,data/model_runs/classical_mlp_coarse_v1/coarse_results/*/result_manifest.json,Search breadth is protocol-specific; do not compare directly with one final fit.
CLASSICAL_AND_MLP,POST_COARSE_REFINEMENT_SEED_20260818,ADDITIVE_COMPONENT,36,216,216,216,0,2361.724393546232,0.6560345537628423,data/model_runs/post_coarse_v1_3_0/candidate_results/refinement/**/candidate_manifest.json,Search breadth is protocol-specific; do not compare directly with one final fit.
CLASSICAL_AND_MLP,CONFIRMATION_EXTRA_SEEDS_20260819_20260820,ADDITIVE_COMPONENT,60,360,360,360,0,2030.9324488680577,0.5641479024633493,data/model_runs/post_coarse_v1_3_0/candidate_results/coarse/**/candidate_manifest.json,Recorded confirmation breadth; comparator reuse prevents double counting.
QNN,Q1_Q2_THROUGH_SEED_20260818,ADDITIVE_COMPONENT,,,109,108,1,119090.66390816716,33.080739974490875,data/model_runs/post_coarse_v1_3_0/qnn_resource_ledger.json,"Cumulative QNN research-path ledger, including one controller restart."
QNN,CONFIRMATION_INCREMENT_EXTRA_SEEDS,ADDITIVE_COMPONENT,,,36,36,0,46067.034666003194,12.79639851833422,"difference(data/model_runs/post_coarse_v1_3_0/qnn_confirmation_resource_ledger.json, data/model_runs/post_coarse_v1_3_0/qnn_resource_ledger.json)",Difference of cumulative ledgers; no model execution performed by this report.
CLASSICAL_AND_MLP,TOTAL_RECORDED_DEVELOPMENT_PROGRAM,NON_ADDITIVE_SUMMARY,343,2058,2058,2058,0,21002.788840161113,5.834108011155864,sum of CLASSICAL_AND_MLP additive components,Descriptive total only; candidate count and model complexity differ from QNN.
QNN,TOTAL_RECORDED_Q1_Q2_CONFIRMATION_PROGRAM,NON_ADDITIVE_SUMMARY,,,145,144,1,165157.69857417035,45.8771384928251,data/model_runs/post_coarse_v1_3_0/qnn_confirmation_resource_ledger.json,Descriptive total only; not an apples-to-apples speed ratio versus a single classical configuration.
