rank,family,stage,feature_block,configuration_id,training_seed,status,pooled_oof_pr_auc,pooled_oof_roc_auc,parameters,period_role,population_boundary,claim_class,required_labels,source_path,source_sha256
1,xgboost,coarse,L+D+R,model_stage_v1__coarse__xgboost__004,AVERAGED_20260818_20260819_20260820,COMPLETE,0.41308893399384633,0.7598701797010347,"{""colsample_bytree"":0.7,""gamma"":0.0,""imbalance"":""sqrt"",""learning_rate"":0.02,""max_depth"":2,""min_child_weight"":20,""n_estimators"":500,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":1.0}",development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f
2,hist_gradient_boosting,coarse,L+D+R,model_stage_v1__coarse__hist_gradient_boosting__007,AVERAGED_20260818_20260819_20260820,COMPLETE,0.4078102954039723,0.7587946661506314,"{""imbalance"":""none"",""l2_regularization"":1.0,""learning_rate"":0.06,""max_features"":1.0,""max_iter"":300,""max_leaf_nodes"":7,""min_samples_leaf"":50}",development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f
3,random_forest,coarse,L+D+R,model_stage_v1__coarse__random_forest__003,AVERAGED_20260818_20260819_20260820,COMPLETE,0.4066369584050779,0.7587838197677795,"{""criterion"":""gini"",""imbalance"":""none"",""max_depth"":6,""max_features"":0.5,""max_samples"":1.0,""min_samples_leaf"":5}",development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f
4,pytorch_mlp,coarse,L+D+R,model_stage_v1__coarse__pytorch_mlp__epochs_200__003,AVERAGED_20260818_20260819_20260820,COMPLETE,0.3970885127758261,0.7472156359618767,"{""activation"":""relu"",""batch_size"":256,""epochs"":200,""hidden_layer_sizes"":[64],""imbalance"":""sqrt"",""learning_rate"":0.0003,""weight_decay"":0.001}",development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f
5,rbf_svm,coarse,L+D+R,model_stage_v1__coarse__rbf_svm__004,20260818,COMPLETE,0.3935576792324612,0.7360289980628015,"{""C"":1.0,""gamma"":0.01,""imbalance"":""sqrt""}",development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f
6,qnn,qnn_q2,L+D+R,model_stage_v1__qnn_q2__t0,AVERAGED_20260818_20260819_20260820,COMPLETE,0.38394764812793286,0.7405838475896125,"{""batch_size"":128,""epochs"":45,""imbalance"":""sqrt"",""layers"":2,""learning_rate"":0.01,""qubits_pca"":4,""reuse_q1_winner"":true,""weight_decay"":0.0001}",development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f
7,elastic_net_logistic,coarse,L+D+R,model_stage_v1__coarse__elastic_net_logistic__003,AVERAGED_20260818_20260819_20260820,COMPLETE,0.38182578577644466,0.7401343252780863,"{""C"":0.01,""imbalance"":""sqrt"",""l1_ratio"":0.25}",development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f
8,fixed_l2_logistic,coarse,L+D+R,model_stage_v1__coarse__fixed_l2_logistic__002,20260818,COMPLETE,0.38165485192849713,0.7387039226718324,"{""C"":1.0,""imbalance"":""sqrt""}",development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f
9,dummy_prior,coarse,BLOCK_AGNOSTIC,model_stage_v1__coarse__dummy_prior__001,20260818,COMPLETE,0.1722831509228104,0.46256921886072344,"{""imbalance"":""none"",""strategy"":""prior""}",development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f
